# ell    tt_lensed   ee_lensed   bb_lensed   te_lensed   tt_unlensed ee_unlensed bb_unlensed te_unlensed kk
42 1.250207e+03 6.596778e-02 4.909020e-04 1.439015e+00 4.347080e+00 2.278158e-04 0.000000e+00 5.011675e-03 1.071995e-01
43 1.268977e+03 7.130371e-02 5.146449e-04 1.350354e+00 4.211728e+00 2.351045e-04 0.000000e+00 4.489768e-03 1.172538e-01
44 1.287863e+03 7.688985e-02 5.389526e-04 1.250664e+00 4.084384e+00 2.423077e-04 0.000000e+00 3.974201e-03 1.279527e-01
45 1.306827e+03 8.275033e-02 5.638241e-04 1.138852e+00 3.964278e+00 2.494887e-04 0.000000e+00 3.462334e-03 1.393268e-01
46 1.325975e+03 8.889541e-02 5.892588e-04 1.014973e+00 3.851150e+00 2.566602e-04 0.000000e+00 2.955288e-03 1.513956e-01
47 1.345418e+03 9.532430e-02 6.152556e-04 8.791939e-01 3.744757e+00 2.638021e-04 0.000000e+00 2.454282e-03 1.641760e-01
48 1.365154e+03 1.020142e-01 6.418138e-04 7.309409e-01 3.644557e+00 2.708390e-04 0.000000e+00 1.958338e-03 1.776940e-01
49 1.385131e+03 1.089407e-01 6.689326e-04 5.694425e-01 3.549933e+00 2.777031e-04 0.000000e+00 1.466095e-03 1.919775e-01
50 1.405190e+03 1.160998e-01 6.966110e-04 3.937269e-01 3.460072e+00 2.843887e-04 0.000000e+00 9.758884e-04 2.070421e-01
51 1.425229e+03 1.234980e-01 7.248483e-04 2.028762e-01 3.374402e+00 2.909161e-04 0.000000e+00 4.864208e-04 2.229011e-01
52 1.445429e+03 1.311692e-01 7.536438e-04 -3.673318e-03 3.293050e+00 2.973660e-04 0.000000e+00 -2.611404e-06 2.395802e-01
53 1.465985e+03 1.391471e-01 7.829967e-04 -2.259066e-01 3.216148e+00 3.038073e-04 0.000000e+00 -4.901985e-04 2.571083e-01
54 1.486897e+03 1.474512e-01 8.129066e-04 -4.618656e-01 3.143373e+00 3.102693e-04 0.000000e+00 -9.713696e-04 2.755075e-01
55 1.508084e+03 1.560941e-01 8.433728e-04 -7.093107e-01 3.074270e+00 3.167630e-04 0.000000e+00 -1.441295e-03 2.947977e-01
56 1.529441e+03 1.650630e-01 8.743949e-04 -9.668332e-01 3.008381e+00 3.232475e-04 0.000000e+00 -1.897483e-03 3.149989e-01
57 1.550861e+03 1.743375e-01 9.059727e-04 -1.233455e+00 2.945296e+00 3.296735e-04 0.000000e+00 -2.338643e-03 3.361314e-01
58 1.572333e+03 1.838781e-01 9.381059e-04 -1.509150e+00 2.884823e+00 3.359630e-04 0.000000e+00 -2.765458e-03 3.582162e-01
59 1.593880e+03 1.936520e-01 9.707945e-04 -1.794744e+00 2.826851e+00 3.420605e-04 0.000000e+00 -3.180083e-03 3.812746e-01
60 1.615671e+03 2.036648e-01 1.004038e-03 -2.093566e+00 2.771525e+00 3.479842e-04 0.000000e+00 -3.588734e-03 4.053274e-01
61 1.637873e+03 2.139305e-01 1.037838e-03 -2.408740e+00 2.718954e+00 3.537646e-04 0.000000e+00 -3.996520e-03 4.303948e-01
62 1.660448e+03 2.244515e-01 1.072193e-03 -2.740007e+00 2.668902e+00 3.594101e-04 0.000000e+00 -4.402482e-03 4.564972e-01
63 1.683321e+03 2.352278e-01 1.107105e-03 -3.086279e+00 2.621094e+00 3.649249e-04 0.000000e+00 -4.804491e-03 4.836551e-01
64 1.706402e+03 2.462588e-01 1.142573e-03 -3.446460e+00 2.575259e+00 3.703118e-04 0.000000e+00 -5.200671e-03 5.118887e-01
65 1.729624e+03 2.575461e-01 1.178599e-03 -3.819512e+00 2.531186e+00 3.755773e-04 0.000000e+00 -5.589474e-03 5.412186e-01
66 1.752948e+03 2.690853e-01 1.215183e-03 -4.204623e+00 2.488725e+00 3.807186e-04 0.000000e+00 -5.969867e-03 5.716651e-01
67 1.776352e+03 2.808751e-01 1.252327e-03 -4.601031e+00 2.447761e+00 3.857379e-04 0.000000e+00 -6.341031e-03 6.032474e-01
68 1.799831e+03 2.929103e-01 1.290030e-03 -5.008160e+00 2.408211e+00 3.906324e-04 0.000000e+00 -6.702515e-03 6.359842e-01
69 1.823447e+03 3.051820e-01 1.328295e-03 -5.426185e+00 2.370085e+00 3.953950e-04 0.000000e+00 -7.054913e-03 6.698940e-01
70 1.847295e+03 3.176805e-01 1.367123e-03 -5.855653e+00 2.333433e+00 4.000186e-04 0.000000e+00 -7.399251e-03 7.049953e-01
71 1.871448e+03 3.303983e-01 1.406515e-03 -6.297146e+00 2.298265e+00 4.045001e-04 0.000000e+00 -7.736505e-03 7.413062e-01
72 1.895995e+03 3.433272e-01 1.446473e-03 -6.751226e+00 2.264607e+00 4.088361e-04 0.000000e+00 -8.067535e-03 7.788449e-01
73 1.920994e+03 3.564576e-01 1.486998e-03 -7.218232e+00 2.232443e+00 4.130222e-04 0.000000e+00 -8.392868e-03 8.176291e-01
74 1.946398e+03 3.697737e-01 1.528092e-03 -7.697432e+00 2.201637e+00 4.170479e-04 0.000000e+00 -8.711774e-03 8.576771e-01
