0.000000	0.000000	0.000000	0.000000	0.000000
1.000000	0.000000	0.000000	0.000000	0.000000
2.000000	1164.039004	0.051084	0.000002	3.244832
3.000000	1080.004104	0.084840	0.000003	4.128838
4.000000	1003.650231	0.096788	0.000006	4.284016
5.000000	944.843957	0.087097	0.000008	3.999204
6.000000	901.901944	0.065203	0.000012	3.504345
7.000000	872.924135	0.041920	0.000015	2.947197
8.000000	851.857640	0.024295	0.000020	2.401724
9.000000	838.802901	0.014283	0.000025	1.934118
10.000000	831.589039	0.010210	0.000030	1.561990
11.000000	829.080086	0.009137	0.000037	1.297255
12.000000	828.628241	0.008720	0.000043	1.134359
13.000000	832.583965	0.007943	0.000051	1.062673
14.000000	837.645178	0.006861	0.000058	1.056790
15.000000	843.429503	0.005961	0.000067	1.093998
16.000000	851.142054	0.005591	0.000076	1.157323
17.000000	860.825584	0.005740	0.000085	1.229949
18.000000	871.490918	0.006167	0.000095	1.297123
19.000000	883.693855	0.006628	0.000106	1.357005
20.000000	896.080231	0.007009	0.000117	1.408103
21.000000	908.830642	0.007382	0.000129	1.449037
22.000000	922.089607	0.007904	0.000142	1.482840
23.000000	935.778496	0.008698	0.000155	1.514343
24.000000	949.787107	0.009803	0.000168	1.542613
25.000000	964.316178	0.011198	0.000183	1.573879
26.000000	979.127377	0.012848	0.000197	1.613066
27.000000	994.172332	0.014696	0.000213	1.656434
28.000000	1009.597750	0.016716	0.000229	1.703399
29.000000	1025.216376	0.018940	0.000245	1.747500
30.000000	1041.346396	0.021377	0.000263	1.784230
31.000000	1057.435295	0.024000	0.000280	1.819468
32.000000	1073.787083	0.026783	0.000299	1.844112
33.000000	1090.721517	0.029706	0.000318	1.852567
34.000000	1107.457242	0.032786	0.000338	1.850669
35.000000	1124.562214	0.036064	0.000358	1.834646
36.000000	1142.208455	0.039544	0.000379	1.806172
37.000000	1159.489769	0.043248	0.000400	1.769242
38.000000	1177.088558	0.047224	0.000422	1.719654
39.000000	1195.118312	0.051487	0.000445	1.659006
40.000000	1213.416338	0.056042	0.000468	1.591046
41.000000	1231.837881	0.060887	0.000492	1.518399
42.000000	1250.421413	0.065992	0.000517	1.439141
43.000000	1269.200586	0.071329	0.000542	1.350497
44.000000	1288.095730	0.076916	0.000568	1.250826
45.000000	1307.068531	0.082778	0.000594	1.139034
46.000000	1326.225673	0.088924	0.000621	1.015178
47.000000	1345.678149	0.095355	0.000649	0.879423
48.000000	1365.424073	0.102046	0.000677	0.731196
49.000000	1385.410577	0.108974	0.000706	0.569727
50.000000	1405.478909	0.116134	0.000735	0.394043
51.000000	1425.528527	0.123534	0.000765	0.203227
52.000000	1445.738193	0.131207	0.000796	-0.003286
53.000000	1466.303821	0.139186	0.000827	-0.225479
54.000000	1487.225508	0.147492	0.000859	-0.461395
55.000000	1508.422394	0.156136	0.000892	-0.708794
56.000000	1529.789642	0.165106	0.000925	-0.966266
57.000000	1551.219884	0.174383	0.000959	-1.232835
58.000000	1572.701358	0.183925	0.000993	-1.508472
59.000000	1594.258281	0.193700	0.001028	-1.794006
60.000000	1616.059793	0.203715	0.001064	-2.092763
61.000000	1638.271651	0.213982	0.001100	-2.407868
62.000000	1660.856556	0.224505	0.001137	-2.739061
63.000000	1683.739449	0.235283	0.001175	-3.085255
64.000000	1706.830409	0.246316	0.001213	-3.445353
65.000000	1730.061805	0.257605	0.001252	-3.818318
66.000000	1753.395728	0.269147	0.001292	-4.203336
67.000000	1776.809133	0.280938	0.001332	-4.599646
68.000000	1800.297465	0.292976	0.001373	-5.006672
69.000000	1823.922722	0.305249	0.001414	-5.424589
70.000000	1847.780254	0.317750	0.001457	-5.853942
71.000000	1871.943120	0.330470	0.001500	-6.295315
72.000000	1896.499239	0.343401	0.001543	-6.749269
73.000000	1921.506804	0.356534	0.001587	-7.216143
74.000000	1946.919973	0.369853	0.001632	-7.695205
75.000000	1972.669831	0.383342	0.001678	-8.185318
76.000000	1998.610043	0.396990	0.001724	-8.685242
77.000000	2024.623216	0.410790	0.001771	-9.193813
78.000000	2050.733150	0.424731	0.001819	-9.711132
79.000000	2077.023092	0.438807	0.001867	-10.237596
80.000000	2103.553997	0.453007	0.001917	-10.773752
