,index,ra_deg,dec_deg,redshift,1.4GHz_flux,30GHz_flux,90GHz_flux,148GHz_flux,219GHz_flux,277GHz_flux,350GHz_flux
41,41,6.574385,6.626728,0.25760,5.28610e-01,4.43048e-02,1.83830e-02,1.23481e-02,9.02516e-03,7.47871e-03,6.20234e-03
42,42,5.186890,5.754539,0.26190,5.77805e-01,5.02220e-02,1.99966e-02,1.34121e-02,9.80159e-03,8.12202e-03,6.73586e-03
43,43,4.940251,5.740784,0.26080,4.36034e-01,3.99005e-02,1.56981e-02,1.04412e-02,7.61625e-03,6.30929e-03,5.23203e-03
44,44,6.012299,6.062934,0.26270,7.71454e-01,6.64781e-02,2.74884e-02,1.84575e-02,1.34895e-02,1.11780e-02,9.27027e-03
45,45,4.830485,6.732862,0.26440,1.90115e-01,6.32956e-02,5.35100e-02,3.74995e-02,2.39545e-02,1.69731e-02,1.14000e-02
46,46,5.729980,7.067657,0.26440,5.19945e-01,4.51504e-02,1.84775e-02,1.23993e-02,9.06138e-03,7.50861e-03,6.22712e-03
47,47,5.728224,7.077102,0.26440,3.14902e-01,2.71385e-02,1.10731e-02,7.43149e-03,5.43110e-03,4.50044e-03,3.73236e-03
48,48,5.733199,7.062853,0.26440,4.97955e-01,4.80858e-02,1.76870e-02,1.17308e-02,8.55881e-03,7.09086e-03,5.88041e-03
49,49,6.370001,5.960235,0.26430,2.33925e+00,2.02282e-01,8.33803e-02,5.59971e-02,4.09275e-02,3.39146e-02,2.81265e-02
50,50,5.926739,6.271170,0.26320,9.44044e-01,7.93437e-02,3.26457e-02,2.19264e-02,1.60258e-02,1.32798e-02,1.10134e-02
51,51,5.223031,7.147033,0.26320,6.19114e-01,1.96384e-01,2.48363e-01,2.24071e-01,1.77979e-01,1.44104e-01,1.10085e-01
52,52,5.734971,6.130619,0.26250,1.49277e-01,1.25796e-02,5.18994e-03,3.48585e-03,2.54777e-03,2.11121e-03,1.75090e-03
53,53,5.745434,6.137042,0.26250,1.62254e+00,1.38018e-01,5.65074e-02,3.79344e-02,2.77241e-02,2.29735e-02,1.90526e-02
54,54,5.431759,5.142336,0.26720,1.75788e-01,1.51604e-02,6.27353e-03,4.21312e-03,3.07926e-03,2.55162e-03,2.11615e-03
55,55,5.375723,5.166271,0.26720,9.01377e-01,7.75466e-02,3.21311e-02,2.15819e-02,1.57740e-02,1.30712e-02,1.08404e-02
56,56,5.392946,5.163247,0.26720,1.15865e-01,1.06267e-02,4.14369e-03,2.74303e-03,1.99603e-03,1.65231e-03,1.36969e-03
57,57,5.382400,5.161565,0.26720,1.18597e-01,1.02312e-02,4.23567e-03,2.84492e-03,2.07933e-03,1.72303e-03,1.42897e-03
58,58,5.382583,5.162389,0.26720,5.54854e-01,8.21698e-02,1.27097e-01,1.62524e-01,1.82397e-01,1.86255e-01,1.82245e-01
59,59,7.080346,6.414158,0.26890,4.53697e-01,3.90953e-02,1.62182e-02,1.08937e-02,7.96212e-03,6.59782e-03,5.47179e-03
60,60,7.196162,6.308922,0.27100,9.40439e-02,7.98687e-03,3.30150e-03,2.21724e-03,1.62053e-03,1.34284e-03,1.11367e-03
61,61,6.869699,6.186129,0.27440,1.47472e-01,1.27462e-02,5.27460e-03,3.54122e-03,2.58799e-03,2.14451e-03,1.77850e-03
62,62,7.093044,6.904556,0.27850,8.35782e-02,7.38033e-03,2.95485e-03,1.97840e-03,1.44529e-03,1.19756e-03,9.93159e-04
63,63,6.329676,4.907676,0.29020,1.18435e-01,1.01682e-02,4.21071e-03,2.82821e-03,2.06711e-03,1.71291e-03,1.42057e-03
64,64,6.329369,4.906071,0.29020,6.25694e-01,5.34926e-02,2.22099e-02,1.49187e-02,1.09040e-02,9.03560e-03,7.49353e-03
65,65,5.382071,5.005006,0.29320,1.18320e-01,9.77878e-03,4.01153e-03,2.69415e-03,1.96912e-03,1.63171e-03,1.35324e-03
66,66,5.380474,5.006901,0.29320,8.32630e-02,7.12677e-03,2.95760e-03,1.98666e-03,1.45204e-03,1.20323e-03,9.97880e-04
67,67,5.371613,4.951477,0.29320,4.96089e-01,4.30237e-02,1.77632e-02,1.19167e-02,8.70726e-03,7.21491e-03,5.98347e-03
68,68,4.978346,6.694900,0.29670,1.72660e-01,1.52272e-02,6.24481e-03,4.16363e-03,3.03247e-03,2.50999e-03,2.08030e-03
69,69,4.977981,6.696853,0.29670,1.99181e-01,1.70634e-02,7.08400e-03,4.75842e-03,3.47790e-03,2.88197e-03,2.39011e-03
70,70,6.588087,5.047563,0.29780,7.84460e-01,6.72384e-02,2.78832e-02,1.87290e-02,1.36889e-02,1.13433e-02,9.40738e-03
71,71,6.615964,5.013067,0.29780,6.19408e-01,5.34268e-02,2.20316e-02,1.47960e-02,1.08141e-02,8.96112e-03,7.43176e-03
72,72,6.736682,5.009364,0.29880,7.75814e-02,6.54903e-03,2.71723e-03,1.82520e-03,1.33402e-03,1.10544e-03,9.16779e-04
73,73,6.787471,6.674291,0.29940,5.46352e-01,5.59028e-02,2.13346e-02,1.35319e-02,9.63485e-03,7.92142e-03,6.54331e-03
74,74,6.788303,6.675534,0.29940,3.74576e-01,4.78149e-02,2.38137e-02,1.49158e-02,9.64761e-03,7.32423e-03,5.57496e-03
75,75,5.803829,6.869954,0.29930,4.33258e-01,3.70719e-02,1.53924e-02,1.03393e-02,7.55693e-03,6.26206e-03,5.19334e-03
76,76,5.791088,6.865117,0.29930,2.27608e-01,1.95903e-02,8.13449e-03,5.46406e-03,3.99364e-03,3.30933e-03,2.74454e-03
77,77,7.008060,5.296744,0.30200,1.32387e+00,1.27446e-01,4.25695e-02,2.80423e-02,2.04355e-02,1.69275e-02,1.40370e-02
78,78,6.986007,5.319087,0.30200,3.11455e-01,9.84941e-02,6.09834e-02,3.55124e-02,1.96662e-02,1.30045e-02,8.39150e-03
79,79,6.062797,6.766574,0.30320,1.05014e-01,1.00650e-02,3.81457e-03,2.50626e-03,1.82119e-03,1.50741e-03,1.24961e-03
80,80,6.556379,6.241770,0.30790,8.41790e-02,7.11761e-03,2.94819e-03,1.98031e-03,1.44740e-03,1.19939e-03,9.94691e-04
81,81,6.375254,6.017860,0.30540,2.30989e-01,2.00739e-02,8.24845e-03,5.53467e-03,4.04456e-03,3.35145e-03,2.77946e-03
82,82,6.376785,6.024841,0.30540,2.49832e-01,2.15003e-02,8.92490e-03,5.99495e-03,4.38167e-03,3.63087e-03,3.01120e-03
