,redshift,ra_deg,dec_deg,x_mpc,y_mpc,z_mpc,vx_kms,vy_kms,vz_kms,Mfof,Mvir,Mgas_vir,Rvir,TSZ_Rvir,KSZ_Rvir,SZ_148_Rvir,SZ_219_Rvir,SZ_277_Rvir,SZ_30_Rvir,SZ_90_Rvir,SZ_350_Rvir,Mvir_R200,Mgas_vir_R200,R200,TSZ_R200,KSZ_R200,SZ_148_R200,SZ_219_R200,SZ_277_R200,SZ_30_R200,SZ_90_R200,SZ_350_R200,Mvir_R500,Mgas_vir_R500,R500,TSZ_R500,KSZ_R500,SZ_148_R500,SZ_219_R500,SZ_277_R500,SZ_30_R500,SZ_90_R500,SZ_350_R500,Mstar,rho_gas_central,T_central,P_central,phi_central
129,0.4414,4.8606844,5.5475273,1676.0437,142.52916,163.3755,128.38768,-56.8504,-21.72492,43539673000000.0,40848478000000.0,3609803600000.0,0.7105132,3.5307626e-06,-1.106183e-06,-4.5383304e-06,-1.0412526e-06,2.1937822e-06,-7.9852425e-06,-6.7210017e-06,6.5172017e-06,37292257000000.0,3134446000000.0,0.59380424,3.2950675e-06,-9.91468e-07,-4.193991e-06,-9.3141375e-07,2.0864918e-06,-7.4107907e-06,-6.2307736e-06,6.120425e-06,28449763000000.0,2175741500000.0,0.40208846,2.7163774e-06,-7.4580373e-07,-3.3848269e-06,-6.97423e-07,1.7880277e-06,-6.0366506e-06,-5.063518e-06,5.1116854e-06,1236891900000.0,122400000000000.0,1.299416,27060000000000.0,-1.13157
130,0.4412,6.1906443,7.125819,1666.2473,180.73709,209.52646,-231.41914,-179.2814,195.28174,126005540000000.0,119373670000000.0,14308534000000.0,1.0114512,2.3985878e-05,7.517482e-06,-1.5815149e-05,7.743258e-06,2.9572777e-05,-3.91417e-05,-3.0563075e-05,5.8977985e-05,107551640000000.0,12193967000000.0,0.84410715,2.2228956e-05,6.752013e-06,-1.4866434e-05,6.9560024e-06,2.717501e-05,-3.648413e-05,-2.8532218e-05,5.4417404e-05,65838137000000.0,6779710700000.0,0.5282448,1.5715475e-05,4.3988834e-06,-1.0874326e-05,4.532122e-06,1.8802539e-05,-2.6157182e-05,-2.053186e-05,3.8043756e-05,2888843000000.0,63880000000000.0,1.9947855,21680000000000.0,-1.70973
131,0.4429,5.0197086,5.4730825,1680.8254,147.63579,161.6682,92.266846,-456.81583,-71.65934,67952645000000.0,64300310000000.0,6152231300000.0,0.8230328,7.927785e-06,-6.906396e-07,-8.397313e-06,-5.647582e-07,6.6819885e-06,-1.6133285e-05,-1.32928735e-05,1.6389284e-05,57187870000000.0,4966417700000.0,0.685613,7.0330866e-06,-5.937636e-07,-7.429324e-06,-4.8344384e-07,5.9424474e-06,-1.4292117e-05,-1.1771869e-05,1.4551893e-05,28161421000000.0,2092128500000.0,0.3981437,3.9648876e-06,-3.1104452e-07,-4.162707e-06,-2.507171e-07,3.3677281e-06,-8.031429e-06,-6.6100956e-06,8.218103e-06,2001668500000.0,36520000000000.0,1.418548,8814000000000.0,-1.1088
132,0.4456,4.9082527,5.3948436,1690.3,145.15509,160.21443,-141.58751,-187.62689,27.008963,57476213000000.0,40271794000000.0,3157436400000.0,0.7039206,3.1003551e-06,1.4171234e-06,-1.610646e-06,1.464823e-06,4.318473e-06,-4.6283812e-06,-3.5234152e-06,8.139955e-06,35562203000000.0,2605436400000.0,0.5831756,2.7902645e-06,1.221291e-06,-1.5031893e-06,1.2637571e-06,3.8309604e-06,-4.2190723e-06,-3.2244814e-06,7.269439e-06,22106234000000.0,1450486900000.0,0.3683017,1.9934344e-06,7.8604563e-07,-1.1595179e-06,8.154963e-07,2.6475975e-06,-3.0997696e-06,-2.388936e-06,5.102628e-06,1303195200000.0,51300000000000.0,1.0902822,9516000000000.0,-0.945054
133,0.4444,4.900435,5.5995693,1685.3087,144.49481,165.83937,-65.62464,-226.01755,-194.17406,39791224000000.0,29795360000000.0,2390698200000.0,0.63624465,2.545217e-06,7.242783e-07,-1.7593652e-06,7.646804e-07,3.1052962e-06,-4.2384304e-06,-3.3303627e-06,6.2388044e-06,26911938000000.0,1888449300000.0,0.53404456,2.2019894e-06,6.05199e-07,-1.5431672e-06,6.398e-07,2.6639912e-06,-3.6879007e-06,-2.9021824e-06,5.3743356e-06,17492760000000.0,921466600000.0,0.34039846,1.4294048e-06,3.6051432e-07,-1.0334787e-06,3.8236908e-07,1.6950077e-06,-2.4256778e-06,-1.9154515e-06,3.4533746e-06,1013638200000.0,34300000000000.0,1.0739088,6267000000000.0,-0.8162784
134,0.4444,6.0828457,6.905478,1677.621,178.77797,204.3276,-389.61252,-6.629183,170.2541,36235003000000.0,30468158000000.0,2810151400000.0,0.6487178,2.6458065e-06,2.785165e-06,1.933599e-07,2.8176098e-06,5.2574514e-06,-2.3767736e-06,-1.4362237e-06,8.532599e-06,27584738000000.0,2326047000000.0,0.53756064,2.379498e-06,2.3968116e-06,6.634602e-08,2.425563e-06,4.6188293e-06,-2.2450354e-06,-1.3990373e-06,7.5635335e-06,21145095000000.0,1516894300000.0,0.36574572,1.8766141e-06,1.7350621e-06,-1.0212195e-07,1.7570275e-06,3.4851264e-06,-1.9249276e-06,-1.2575236e-06,5.8062e-06,992957370000.0,80830000000000.0,1.1321862,15570000000000.0,-0.9301748
135,0.4502,5.241613,6.222392,1702.6243,156.19786,186.41702,-6.8621407,-228.59749,-45.670383,41809620000000.0,24220745000000.0,1875020200000.0,0.59363675,2.0333398e-06,1.9142847e-07,-1.7911264e-06,2.2626247e-07,2.0959515e-06,-3.7729953e-06,-3.0470535e-06,4.596439e-06,18550014000000.0,1291619900000.0,0.46937475,1.5911085e-06,1.435414e-07,-1.4075159e-06,1.7047971e-07,1.6328246e-06,-2.958333e-06,-2.3901782e-06,3.588947e-06,13648197000000.0,667615360000.0,0.31354848,1.0119277e-06,8.5085816e-08,-9.010231e-07,1.01860856e-07,1.0311097e-06,-1.8873102e-06,-1.5258596e-06,2.2745867e-06,888901340000.0,32210000000000.0,1.0507097,5758000000000.0,-0.789822
136,0.4513,5.3585873,6.311851,1705.6364,159.98636,189.48923,-160.78432,-40.074184,-237.60576,34408835000000.0,31429300000000.0,2372163300000.0,0.64739895,2.1957273e-06,1.2479484e-06,-8.980028e-07,1.2810839e-06,3.303863e-06,-3.0345736e-06,-2.2524866e-06,6.0131333e-06,28641992000000.0,1897059000000.0,0.54633164,1.9584054e-06,1.079957e-06,-8.338107e-07,1.1092726e-06,2.9128855e-06,-2.7394358e-06,-2.0418083e-06,5.328915e-06,13840425000000.0,734470540000.0,0.31742787,1.1357072e-06,5.733013e-07,-5.360797e-07,5.898636e-07,1.6348214e-06,-1.6411497e-06,-1.2364538e-06,3.0351564e-06,1147169400000.0,31080000000000.0,0.9646641,5101000000000.0,-0.735174
137,0.4547,6.045616,5.037143,1718.6665,182.02267,152.33382,-120.85917,-237.20895,-56.733047,96402410000000.0,67472074000000.0,6798548400000.0,0.83148986,9.380527e-06,2.677457e-06,-6.458833e-06,2.7971178e-06,1.1375708e-05,-1.5589208e-05,-1.223775e-05,2.2895163e-05,62570260000000.0,5860218600000.0,0.7032211,8.592827e-06,2.3585317e-06,-6.0086522e-06,2.4661713e-06,1.0320061e-05,-1.4372253e-05,-1.1301605e-05,2.0868882e-05,46134750000000.0,3800527800000.0,0.4675971,6.635456e-06,1.6519272e-06,-4.8052875e-06,1.730914e-06,7.786684e-06,-1.1263573e-05,-8.891094e-06,1.5925625e-05,1815673400000.0,91510000000000.0,1.7059305,26560000000000.0,-1.51074
138,0.4555,6.7017784,7.0913544,1712.4907,201.22533,214.5053,172.13646,326.18585,268.8507,56130613000000.0,55265590000000.0,4951659500000.0,0.78549623,5.67107e-06,-2.881726e-06,-8.38093e-06,-2.7752988e-06,2.4015126e-06,-1.3927091e-05,-1.188966e-05,9.3206e-06,52958850000000.0,4428346000000.0,0.6670844,5.3740177e-06,-2.6330567e-06,-7.843269e-06,-2.5331249e-06,2.37047e-06,-1.3098809e-05,-1.1167842e-05,8.925559e-06,41905730000000.0,3228092300000.0,0.45270258,4.5853863e-06,-2.0601128e-06,-6.5036315e-06,-1.9769275e-06,2.2024585e-06,-1.0987708e-05,-9.339514e-06,7.792073e-06,1507645200000.0,134300000000000.0,1.5847266,36210000000000.0,-1.39095
