# ells, tt
1.015000000000000000e+02 2.115207353069106659e+02
3.015000000000000000e+02 2.214414390945605504e+01
5.015000000000000000e+02 1.867715401636987238e+01
7.015000000000000000e+02 1.594586288800744178e+01
9.015000000000000000e+02 1.843417976125688185e+01
1.101500000000000000e+03 2.287360695679632627e+01
1.301500000000000000e+03 3.055638961995238745e+01
1.501500000000000000e+03 3.550514206357070179e+01
1.701500000000000000e+03 3.973987844549967008e+01
1.901500000000000000e+03 4.879816918101061418e+01
2.101500000000000000e+03 5.310133964968026987e+01
2.301500000000000000e+03 6.765071761357819469e+01
2.501500000000000000e+03 7.296728453659981994e+01
2.701500000000000000e+03 7.861025734333857429e+01
2.901500000000000000e+03 9.658618998208007156e+01
3.101500000000000000e+03 1.066395599877226914e+02
3.301500000000000000e+03 1.180485989384067267e+02
3.501500000000000000e+03 1.311958355760315840e+02
3.701500000000000000e+03 1.450708899011059145e+02
3.901500000000000000e+03 1.601066555247081737e+02
4.101500000000000000e+03 1.736970763516830800e+02
4.301500000000000000e+03 1.830115357510008209e+02
4.501500000000000000e+03 1.990395367245450302e+02
4.701500000000000000e+03 2.129950935821447615e+02
4.901500000000000000e+03 2.272247247410601858e+02
5.101500000000000000e+03 2.405812020296930314e+02
5.301500000000000000e+03 2.589274352551609013e+02
5.501500000000000000e+03 2.878027384760075051e+02
5.701500000000000000e+03 3.075359867728373615e+02
5.901500000000000000e+03 3.139721787284662469e+02
6.101500000000000000e+03 3.191517195424109445e+02
6.301500000000000000e+03 3.598805074844323144e+02
6.501500000000000000e+03 3.767460728336054672e+02
6.701500000000000000e+03 4.041382676431931031e+02
6.901500000000000000e+03 4.236168966962801505e+02
7.101500000000000000e+03 4.452061580938296288e+02
7.301500000000000000e+03 4.659047945866826694e+02
7.501500000000000000e+03 4.763080910918970972e+02
7.701500000000000000e+03 4.942569045756666810e+02
7.901500000000000000e+03 5.344765353315897300e+02
8.101500000000000000e+03 5.575945559102558491e+02
8.301500000000000000e+03 5.748168377620854699e+02
8.501500000000000000e+03 6.023700698807017488e+02
8.701500000000000000e+03 6.351835117523951340e+02
8.901500000000000000e+03 6.233943619779624896e+02
9.101500000000000000e+03 6.696261467587280549e+02
9.301500000000000000e+03 6.987618331716337252e+02
9.501500000000000000e+03 7.449396680475258563e+02
9.701500000000000000e+03 7.441220330116370860e+02
9.901500000000000000e+03 7.534325594178445726e+02
1.010150000000000000e+04 8.194893503179951040e+02
1.030150000000000000e+04 8.100447900270524997e+02
1.050150000000000000e+04 8.819837408235957810e+02
1.070150000000000000e+04 8.890269210738981656e+02
1.090150000000000000e+04 9.363375698334941717e+02
1.110150000000000000e+04 9.288485900942532680e+02
1.130150000000000000e+04 1.014600667590387843e+03
1.150150000000000000e+04 1.013797918137803094e+03
1.170150000000000000e+04 1.065418425646443438e+03
1.190150000000000000e+04 1.082994080352465971e+03
1.210150000000000000e+04 1.109328125588838247e+03
1.230150000000000000e+04 1.131821077668700354e+03
1.250150000000000000e+04 1.180440018769460949e+03
1.270150000000000000e+04 1.224202215804581101e+03
1.290150000000000000e+04 1.267870036347238965e+03
1.310150000000000000e+04 1.289478432342990118e+03
1.330150000000000000e+04 1.347276932619006402e+03
1.350150000000000000e+04 1.359052339334700491e+03
1.370150000000000000e+04 1.390340516027802551e+03
1.390150000000000000e+04 1.430010389816656698e+03
1.410150000000000000e+04 1.446102720732129228e+03
1.430150000000000000e+04 1.489226529927721458e+03
1.450150000000000000e+04 1.588126595932493274e+03
1.470150000000000000e+04 1.604460658423742188e+03
1.490150000000000000e+04 1.653309484917427653e+03
1.510150000000000000e+04 1.676888649200327791e+03
1.530150000000000000e+04 1.695040711255516499e+03
1.550150000000000000e+04 1.723572702814286004e+03
1.570150000000000000e+04 1.747117015518062772e+03
1.590150000000000000e+04 1.861764658481009519e+03
1.610150000000000000e+04 1.878993037293363159e+03
1.630150000000000000e+04 1.899082791098076314e+03
1.650150000000000000e+04 1.969180786871446344e+03
1.670150000000000000e+04 2.011670976959014524e+03
1.690150000000000000e+04 2.040627606713001569e+03
1.710150000000000000e+04 2.103283861762087781e+03
1.730150000000000000e+04 2.162018564560994491e+03
1.750150000000000000e+04 2.198755182412691283e+03
1.770150000000000000e+04 2.273787891067390774e+03
1.790150000000000000e+04 2.255513126165725225e+03
1.810150000000000000e+04 2.322541376113502793e+03
1.830150000000000000e+04 2.384450547832606389e+03
1.850150000000000000e+04 2.416894256476014107e+03
1.870150000000000000e+04 2.461723935118121517e+03
1.890150000000000000e+04 2.528836056518238820e+03
1.910150000000000000e+04 2.623825769364226744e+03
1.930150000000000000e+04 2.632710912724415721e+03
1.950150000000000000e+04 2.658923270725750626e+03
1.970150000000000000e+04 2.733693835498155750e+03
1.990150000000000000e+04 2.769104557005218794e+03
2.010150000000000000e+04 2.852757465792599760e+03
2.030150000000000000e+04 2.897491518986233132e+03
2.050150000000000000e+04 2.957014028783814865e+03
2.070150000000000000e+04 3.163181484125840598e+03
