# ells, tt
1.015000000000000000e+02 1.284996944697166521e-01
3.015000000000000000e+02 -5.081848229170322397e-03
5.015000000000000000e+02 3.474059899732577874e-04
7.015000000000000000e+02 1.175602403543169269e-04
9.015000000000000000e+02 9.981552660407724473e-05
1.101500000000000000e+03 7.734307835198579620e-05
1.301500000000000000e+03 5.778835551341976538e-05
1.501500000000000000e+03 3.916639755992281876e-05
1.701500000000000000e+03 3.476388322109847030e-05
1.901500000000000000e+03 2.673027090886709623e-05
2.101500000000000000e+03 2.071364228289217477e-05
2.301500000000000000e+03 1.904779357754333847e-05
2.501500000000000000e+03 1.617561802514845632e-05
2.701500000000000000e+03 1.439772003024510110e-05
2.901500000000000000e+03 1.228808209060890421e-05
3.101500000000000000e+03 1.113331697831244351e-05
3.301500000000000000e+03 9.666598948014379984e-06
3.501500000000000000e+03 8.821203854684781385e-06
3.701500000000000000e+03 7.543702109956500315e-06
3.901500000000000000e+03 6.609371244031708747e-06
4.101500000000000000e+03 6.190949604461456176e-06
4.301500000000000000e+03 5.725994068316426922e-06
4.501500000000000000e+03 5.205909946915872026e-06
4.701500000000000000e+03 4.553781181132879723e-06
4.901500000000000000e+03 4.227922265066299367e-06
5.101500000000000000e+03 3.947335646583444145e-06
5.301500000000000000e+03 3.543305212258992902e-06
5.501500000000000000e+03 3.245858547499401943e-06
5.701500000000000000e+03 3.089081533296852464e-06
5.901500000000000000e+03 2.791653465551666163e-06
6.101500000000000000e+03 2.547124334278616776e-06
6.301500000000000000e+03 2.575216144015145415e-06
6.501500000000000000e+03 2.314916280619736140e-06
6.701500000000000000e+03 2.143370232981048915e-06
6.901500000000000000e+03 1.935253981406227853e-06
7.101500000000000000e+03 1.832526483920516933e-06
7.301500000000000000e+03 1.639622537512454568e-06
7.501500000000000000e+03 1.598493200556449325e-06
7.701500000000000000e+03 1.508444619030346226e-06
7.901500000000000000e+03 1.434989821217420705e-06
8.101500000000000000e+03 1.337560172786443684e-06
8.301500000000000000e+03 1.266879570637932807e-06
8.501500000000000000e+03 1.138954781099554955e-06
8.701500000000000000e+03 1.146615776833537605e-06
8.901500000000000000e+03 1.057809858537772783e-06
9.101500000000000000e+03 1.018480721137666273e-06
9.301500000000000000e+03 9.336146777326566380e-07
9.501500000000000000e+03 9.146252432434628725e-07
9.701500000000000000e+03 8.706146753565595282e-07
9.901500000000000000e+03 8.155158977602726647e-07
1.010150000000000000e+04 7.656181979551846223e-07
1.030150000000000000e+04 7.147999670026985487e-07
1.050150000000000000e+04 7.081370246926021033e-07
1.070150000000000000e+04 6.639616631304770297e-07
1.090150000000000000e+04 6.278668932486866786e-07
1.110150000000000000e+04 6.100099407875199244e-07
1.130150000000000000e+04 5.666161954898116138e-07
1.150150000000000000e+04 5.315819035715531834e-07
1.170150000000000000e+04 5.144551225458660972e-07
1.190150000000000000e+04 4.991701639920853258e-07
1.210150000000000000e+04 4.806218078978533511e-07
1.230150000000000000e+04 4.689280472479152282e-07
1.250150000000000000e+04 4.406492398612926517e-07
1.270150000000000000e+04 4.229541489827694188e-07
1.290150000000000000e+04 4.004534762430813816e-07
1.310150000000000000e+04 3.833030746369825720e-07
1.330150000000000000e+04 3.626331412651516707e-07
1.350150000000000000e+04 3.632323615263330838e-07
1.370150000000000000e+04 3.459259172338051678e-07
1.390150000000000000e+04 3.276297097306155010e-07
1.410150000000000000e+04 3.244985981903615199e-07
1.430150000000000000e+04 3.047223026869280807e-07
1.450150000000000000e+04 2.977039870820014541e-07
1.470150000000000000e+04 2.850224928520496397e-07
1.490150000000000000e+04 2.808895457161933162e-07
1.510150000000000000e+04 2.667202419174064789e-07
1.530150000000000000e+04 2.584868567697612657e-07
1.550150000000000000e+04 2.493971099807523890e-07
1.570150000000000000e+04 2.369703581750344471e-07
1.590150000000000000e+04 2.280682510780380571e-07
1.610150000000000000e+04 2.248264386892965445e-07
1.630150000000000000e+04 2.167913065056566438e-07
1.650150000000000000e+04 2.063607787828838263e-07
1.670150000000000000e+04 1.984423572590695755e-07
1.690150000000000000e+04 1.964076535357772237e-07
1.710150000000000000e+04 1.924876706069894648e-07
1.730150000000000000e+04 1.849216994986826404e-07
1.750150000000000000e+04 1.775087726078512759e-07
1.770150000000000000e+04 1.758736871760125265e-07
1.790150000000000000e+04 1.690061176659820361e-07
1.810150000000000000e+04 1.695103175301654645e-07
1.830150000000000000e+04 1.595706794640663961e-07
1.850150000000000000e+04 1.589068902018050234e-07
1.870150000000000000e+04 1.533376147922524636e-07
1.890150000000000000e+04 1.505425493788488582e-07
1.910150000000000000e+04 1.434063520368609285e-07
1.930150000000000000e+04 1.421194532972498337e-07
1.950150000000000000e+04 1.401018138706739307e-07
1.970150000000000000e+04 1.347935904212801785e-07
1.990150000000000000e+04 1.297003608939902691e-07
2.010150000000000000e+04 1.276684687838460950e-07
2.030150000000000000e+04 1.277895494460836945e-07
2.050150000000000000e+04 1.223848065301811139e-07
2.070150000000000000e+04 1.287131576275585939e-07
