# ells, tt
1.015000000000000000e+02 6.469877282511621161e+03
3.015000000000000000e+02 1.121242410521433612e+02
5.015000000000000000e+02 2.795199198655369059e+02
7.015000000000000000e+02 4.416676167701670579e+02
9.015000000000000000e+02 5.591111863541622142e+02
1.101500000000000000e+03 7.287962250345040047e+02
1.301500000000000000e+03 9.810345136961387880e+02
1.501500000000000000e+03 1.120650644771927318e+03
1.701500000000000000e+03 1.337037534799223977e+03
1.901500000000000000e+03 1.605351419823532069e+03
2.101500000000000000e+03 1.807005217537502631e+03
2.301500000000000000e+03 2.273208629211128937e+03
2.501500000000000000e+03 2.492914189529040414e+03
2.701500000000000000e+03 2.667829144536166950e+03
2.901500000000000000e+03 3.340659670339002787e+03
3.101500000000000000e+03 3.551888451555390475e+03
3.301500000000000000e+03 3.968183164215241959e+03
3.501500000000000000e+03 4.483660398829084443e+03
3.701500000000000000e+03 5.112339299843833942e+03
3.901500000000000000e+03 5.532952134380055213e+03
4.101500000000000000e+03 5.947469174894099524e+03
4.301500000000000000e+03 6.278854918957596965e+03
4.501500000000000000e+03 6.709478070564633526e+03
4.701500000000000000e+03 7.338426921315365689e+03
4.901500000000000000e+03 7.758674718965707143e+03
5.101500000000000000e+03 8.167239070573818026e+03
5.301500000000000000e+03 8.929741365425812546e+03
5.501500000000000000e+03 9.926341701198902228e+03
5.701500000000000000e+03 1.068971812019024765e+04
5.901500000000000000e+03 1.094950272229106122e+04
6.101500000000000000e+03 1.089769061487620820e+04
6.301500000000000000e+03 1.222185218807024285e+04
6.501500000000000000e+03 1.294643028893222254e+04
6.701500000000000000e+03 1.425680005812641321e+04
6.901500000000000000e+03 1.476626786848104348e+04
7.101500000000000000e+03 1.552945104701703349e+04
7.301500000000000000e+03 1.633766921089778043e+04
7.501500000000000000e+03 1.662168182152538793e+04
7.701500000000000000e+03 1.730213357059468763e+04
7.901500000000000000e+03 1.873937294822861440e+04
8.101500000000000000e+03 1.990174201592013924e+04
8.301500000000000000e+03 1.964148364239391231e+04
8.501500000000000000e+03 2.124508960665926497e+04
8.701500000000000000e+03 2.222284203611507837e+04
8.901500000000000000e+03 2.192455276726288139e+04
9.101500000000000000e+03 2.332420365564768144e+04
9.301500000000000000e+03 2.400185454555766410e+04
9.501500000000000000e+03 2.607990298637016167e+04
9.701500000000000000e+03 2.616331806866034458e+04
9.901500000000000000e+03 2.679400779830000465e+04
1.010150000000000000e+04 2.872256805742401048e+04
1.030150000000000000e+04 2.880326843597689731e+04
1.050150000000000000e+04 3.006144402911743236e+04
1.070150000000000000e+04 3.120886809564295254e+04
1.090150000000000000e+04 3.277276941182280279e+04
1.110150000000000000e+04 3.343151685642460507e+04
1.130150000000000000e+04 3.524987997257894312e+04
1.150150000000000000e+04 3.622789016972634272e+04
1.170150000000000000e+04 3.717141767511683429e+04
1.190150000000000000e+04 3.817340443544011941e+04
1.210150000000000000e+04 3.937443088574373542e+04
1.230150000000000000e+04 4.039452099187147542e+04
1.250150000000000000e+04 4.244064116153790383e+04
1.270150000000000000e+04 4.363261572249589517e+04
1.290150000000000000e+04 4.536815204173675738e+04
1.310150000000000000e+04 4.607071636157554894e+04
1.330150000000000000e+04 4.810046692812448600e+04
1.350150000000000000e+04 4.912090911642585706e+04
1.370150000000000000e+04 5.069088442747358931e+04
1.390150000000000000e+04 5.267782229352222930e+04
1.410150000000000000e+04 5.341971901662208984e+04
1.430150000000000000e+04 5.479516742058654199e+04
1.450150000000000000e+04 5.862523654828118015e+04
1.470150000000000000e+04 5.774553249486337882e+04
1.490150000000000000e+04 6.058970336448786838e+04
1.510150000000000000e+04 6.166996857611495216e+04
1.530150000000000000e+04 6.302821513549736846e+04
1.550150000000000000e+04 6.423925747023467557e+04
1.570150000000000000e+04 6.573021842807836947e+04
1.590150000000000000e+04 6.976070683407325123e+04
1.610150000000000000e+04 7.041255630287059466e+04
1.630150000000000000e+04 7.241938041868728760e+04
1.650150000000000000e+04 7.433427435495838290e+04
1.670150000000000000e+04 7.609041546275716973e+04
1.690150000000000000e+04 7.757797938686245470e+04
1.710150000000000000e+04 7.975694199293541897e+04
1.730150000000000000e+04 8.192037382034510665e+04
1.750150000000000000e+04 8.235477371266942646e+04
1.770150000000000000e+04 8.567447178374748910e+04
1.790150000000000000e+04 8.666271636957785813e+04
1.810150000000000000e+04 8.912582209418388084e+04
1.830150000000000000e+04 9.187726907734028646e+04
1.850150000000000000e+04 9.349423910814715782e+04
1.870150000000000000e+04 9.594792553180996038e+04
1.890150000000000000e+04 9.634687656722927932e+04
1.910150000000000000e+04 1.011693148490131716e+05
1.930150000000000000e+04 1.018479135154790420e+05
1.950150000000000000e+04 1.054996961937638844e+05
1.970150000000000000e+04 1.060710047922171652e+05
1.990150000000000000e+04 1.084340584725424851e+05
2.010150000000000000e+04 1.104068214658462093e+05
2.030150000000000000e+04 1.133968273269750061e+05
2.050150000000000000e+04 1.159461692004052456e+05
2.070150000000000000e+04 1.253738251083339128e+05
