# ells, tt
1.015000000000000000e+02 3.046439620894274469e+01
3.015000000000000000e+02 8.544243927835935004e-01
5.015000000000000000e+02 1.485189461140545397e+00
7.015000000000000000e+02 2.163947017434064701e+00
9.015000000000000000e+02 2.571606448282133250e+00
1.101500000000000000e+03 3.246517841562802875e+00
1.301500000000000000e+03 4.260479165199024365e+00
1.501500000000000000e+03 4.832807924123757815e+00
1.701500000000000000e+03 5.604222741938929886e+00
1.901500000000000000e+03 6.609501724881791773e+00
2.101500000000000000e+03 7.415132507144486240e+00
2.301500000000000000e+03 9.359431266032629537e+00
2.501500000000000000e+03 1.022638702664643873e+01
2.701500000000000000e+03 1.102305530586057003e+01
2.901500000000000000e+03 1.338723661057349190e+01
3.101500000000000000e+03 1.470190578956906435e+01
3.301500000000000000e+03 1.588390297383840810e+01
3.501500000000000000e+03 1.801243871356740911e+01
3.701500000000000000e+03 2.051432257269136272e+01
3.901500000000000000e+03 2.178221768466240960e+01
4.101500000000000000e+03 2.359066771566143572e+01
4.301500000000000000e+03 2.520109605952664822e+01
4.501500000000000000e+03 2.662433068708109829e+01
4.701500000000000000e+03 2.882392325401162836e+01
4.901500000000000000e+03 3.077770655225033636e+01
5.101500000000000000e+03 3.243784696717631988e+01
5.301500000000000000e+03 3.511264883154217387e+01
5.501500000000000000e+03 3.895541329131093278e+01
5.701500000000000000e+03 4.247519864333184358e+01
5.901500000000000000e+03 4.371806585195314909e+01
6.101500000000000000e+03 4.311087738952948456e+01
6.301500000000000000e+03 4.827249693491753391e+01
6.501500000000000000e+03 5.101621590562942288e+01
6.701500000000000000e+03 5.560077786831202218e+01
6.901500000000000000e+03 5.794822741868389215e+01
7.101500000000000000e+03 6.080650417332493163e+01
7.301500000000000000e+03 6.386086011107356342e+01
7.501500000000000000e+03 6.520309325973960313e+01
7.701500000000000000e+03 6.798336090556011868e+01
7.901500000000000000e+03 7.314241672693732710e+01
8.101500000000000000e+03 7.869199453960828805e+01
8.301500000000000000e+03 7.747496666783241892e+01
8.501500000000000000e+03 8.379498319860897482e+01
8.701500000000000000e+03 8.774624635821098195e+01
8.901500000000000000e+03 8.671889208822359763e+01
9.101500000000000000e+03 9.166442442673420032e+01
9.301500000000000000e+03 9.451985776919889304e+01
9.501500000000000000e+03 1.024700309842694423e+02
9.701500000000000000e+03 1.033550984197896554e+02
9.901500000000000000e+03 1.053320643437849355e+02
1.010150000000000000e+04 1.130279773459243273e+02
1.030150000000000000e+04 1.134047055626113547e+02
1.050150000000000000e+04 1.191395452781068798e+02
1.070150000000000000e+04 1.230872538148316835e+02
1.090150000000000000e+04 1.284411692852597469e+02
1.110150000000000000e+04 1.317441552226359249e+02
1.130150000000000000e+04 1.381525905670734176e+02
1.150150000000000000e+04 1.429315205429168145e+02
1.170150000000000000e+04 1.457066635316325289e+02
1.190150000000000000e+04 1.491817253796501745e+02
1.210150000000000000e+04 1.530963599365074117e+02
1.230150000000000000e+04 1.589300098750312884e+02
1.250150000000000000e+04 1.666154338399089170e+02
1.270150000000000000e+04 1.722946262756985618e+02
1.290150000000000000e+04 1.780940999427992324e+02
1.310150000000000000e+04 1.803492388092631700e+02
1.330150000000000000e+04 1.885177240815924620e+02
1.350150000000000000e+04 1.915909451476747449e+02
1.370150000000000000e+04 1.991503404694454673e+02
1.390150000000000000e+04 2.082789353360152518e+02
1.410150000000000000e+04 2.097621180440139312e+02
1.430150000000000000e+04 2.142777122855746939e+02
1.450150000000000000e+04 2.301187676531378941e+02
1.470150000000000000e+04 2.271433221769241300e+02
1.490150000000000000e+04 2.355151806051818255e+02
1.510150000000000000e+04 2.416660819869249792e+02
1.530150000000000000e+04 2.462576799667052967e+02
1.550150000000000000e+04 2.522651919637182800e+02
1.570150000000000000e+04 2.575878786397036038e+02
1.590150000000000000e+04 2.753909188594528814e+02
1.610150000000000000e+04 2.761546907987882378e+02
1.630150000000000000e+04 2.843834734166506450e+02
1.650150000000000000e+04 2.905656784825753789e+02
1.670150000000000000e+04 2.993178418004542323e+02
1.690150000000000000e+04 3.037187732722111377e+02
1.710150000000000000e+04 3.146878026390314176e+02
1.730150000000000000e+04 3.237431660859774070e+02
1.750150000000000000e+04 3.255788144496182781e+02
1.770150000000000000e+04 3.381209129916147162e+02
1.790150000000000000e+04 3.412132770700040965e+02
1.810150000000000000e+04 3.508565859521249877e+02
1.830150000000000000e+04 3.636572745314639405e+02
1.850150000000000000e+04 3.695730732690232685e+02
1.870150000000000000e+04 3.778276671841582584e+02
1.890150000000000000e+04 3.788336747519584264e+02
1.910150000000000000e+04 3.990835491062636038e+02
1.930150000000000000e+04 4.008515607245320780e+02
1.950150000000000000e+04 4.176375503851022017e+02
1.970150000000000000e+04 4.201248101297790640e+02
1.990150000000000000e+04 4.297817771047026554e+02
2.010150000000000000e+04 4.378939532334693467e+02
2.030150000000000000e+04 4.471205826317641367e+02
2.050150000000000000e+04 4.592815462606759525e+02
2.070150000000000000e+04 4.943829543155645752e+02
