# ells, tt
1.015000000000000000e+02 2.395532322985962914e-01
3.015000000000000000e+02 2.284161013569035337e+00
5.015000000000000000e+02 6.124270845775197536e+00
7.015000000000000000e+02 1.206752245936492152e+01
9.015000000000000000e+02 2.069359317203053905e+01
1.101500000000000000e+03 2.991065024430366037e+01
1.301500000000000000e+03 4.165049076851403242e+01
1.501500000000000000e+03 5.599458139134570445e+01
1.701500000000000000e+03 7.166903333030798251e+01
1.901500000000000000e+03 8.900811930693524232e+01
2.101500000000000000e+03 1.089783016432160991e+02
2.301500000000000000e+03 1.325951238702920705e+02
2.501500000000000000e+03 1.552657604346692040e+02
2.701500000000000000e+03 1.806886262139328778e+02
2.901500000000000000e+03 2.060660943171363044e+02
3.101500000000000000e+03 2.400034013943478044e+02
3.301500000000000000e+03 2.716677664479757368e+02
3.501500000000000000e+03 3.019234442090300377e+02
3.701500000000000000e+03 3.363880399368264875e+02
3.901500000000000000e+03 3.789066310644398072e+02
4.101500000000000000e+03 4.183573879174902004e+02
4.301500000000000000e+03 4.548591583620563483e+02
4.501500000000000000e+03 5.004451263793485509e+02
4.701500000000000000e+03 5.494471271614336274e+02
4.901500000000000000e+03 5.966144091972446404e+02
5.101500000000000000e+03 6.425091704616390871e+02
5.301500000000000000e+03 6.959531000955843183e+02
5.501500000000000000e+03 7.520252719719632069e+02
5.701500000000000000e+03 8.050393592161451579e+02
5.901500000000000000e+03 8.587366917664832044e+02
6.101500000000000000e+03 9.192415925979109943e+02
6.301500000000000000e+03 9.896500428806616583e+02
6.501500000000000000e+03 1.043087818265826854e+03
6.701500000000000000e+03 1.101651027356487475e+03
6.901500000000000000e+03 1.183290693169956285e+03
7.101500000000000000e+03 1.258606481713298990e+03
7.301500000000000000e+03 1.319577804195429280e+03
7.501500000000000000e+03 1.380585252976937682e+03
7.701500000000000000e+03 1.466284583091436616e+03
7.901500000000000000e+03 1.547810289604342643e+03
8.101500000000000000e+03 1.627547916429394263e+03
8.301500000000000000e+03 1.703485157967310442e+03
8.501500000000000000e+03 1.783012179822473854e+03
8.701500000000000000e+03 1.872652514075255112e+03
8.901500000000000000e+03 1.956208814254392792e+03
9.101500000000000000e+03 2.050686004249929283e+03
9.301500000000000000e+03 2.147483109634560606e+03
9.501500000000000000e+03 2.243373216171763033e+03
9.701500000000000000e+03 2.313554804349202641e+03
9.901500000000000000e+03 2.418153404665250946e+03
1.010150000000000000e+04 2.542863896970683527e+03
1.030150000000000000e+04 2.638702318200214904e+03
1.050150000000000000e+04 2.716498272094061576e+03
1.070150000000000000e+04 2.814809870935742310e+03
1.090150000000000000e+04 2.948747005223766337e+03
1.110150000000000000e+04 3.057541068346172324e+03
1.130150000000000000e+04 3.157253948765282985e+03
1.150150000000000000e+04 3.263840391311956409e+03
1.170150000000000000e+04 3.398733571534055500e+03
1.190150000000000000e+04 3.510183334581623967e+03
1.210150000000000000e+04 3.619579210832757781e+03
1.230150000000000000e+04 3.737580580268829635e+03
1.250150000000000000e+04 3.883819053084524967e+03
1.270150000000000000e+04 3.988571873583030083e+03
1.290150000000000000e+04 4.092811538742103494e+03
1.310150000000000000e+04 4.241407286706017658e+03
1.330150000000000000e+04 4.397871872810050263e+03
1.350150000000000000e+04 4.499677478516705378e+03
1.370150000000000000e+04 4.636341709031513346e+03
1.390150000000000000e+04 4.783865468721591242e+03
1.410150000000000000e+04 4.939752656406712049e+03
1.430150000000000000e+04 5.063761394384094274e+03
1.450150000000000000e+04 5.188881894940454913e+03
1.470150000000000000e+04 5.343400061866877877e+03
1.490150000000000000e+04 5.515091914161058412e+03
1.510150000000000000e+04 5.641736735971087001e+03
1.530150000000000000e+04 5.785595115881096717e+03
1.550150000000000000e+04 5.945985694926176620e+03
1.570150000000000000e+04 6.115755403973686043e+03
1.590150000000000000e+04 6.239484627740717769e+03
1.610150000000000000e+04 6.412449575991504389e+03
1.630150000000000000e+04 6.597684019087621891e+03
1.650150000000000000e+04 6.746834144522220413e+03
1.670150000000000000e+04 6.868919207263155840e+03
1.690150000000000000e+04 7.060808482256536081e+03
1.710150000000000000e+04 7.276982566905401654e+03
1.730150000000000000e+04 7.425431704140220063e+03
1.750150000000000000e+04 7.543335405820764208e+03
1.770150000000000000e+04 7.717625537055224413e+03
1.790150000000000000e+04 7.946777866307684235e+03
1.810150000000000000e+04 8.135703725338950790e+03
1.830150000000000000e+04 8.272969493300603062e+03
1.850150000000000000e+04 8.460731594011695051e+03
1.870150000000000000e+04 8.658700869504604270e+03
1.890150000000000000e+04 8.845142373838876665e+03
1.910150000000000000e+04 9.029151115877344637e+03
1.930150000000000000e+04 9.221319827905213970e+03
1.950150000000000000e+04 9.439703101125020112e+03
1.970150000000000000e+04 9.590386218248066143e+03
1.990150000000000000e+04 9.775412642700723154e+03
2.010150000000000000e+04 9.984667109526615604e+03
2.030150000000000000e+04 1.024771957881757226e+04
2.050150000000000000e+04 1.038515855554402515e+04
2.070150000000000000e+04 1.109261913784667377e+04
