# ells, tt
1.015000000000000000e+02 4.348528372180097122e-04
3.015000000000000000e+02 9.468986372192255731e-05
5.015000000000000000e+02 6.787074921823461134e-05
7.015000000000000000e+02 6.401469496221479723e-05
9.015000000000000000e+02 9.032876391466232815e-05
1.101500000000000000e+03 9.943754803234939026e-05
1.301500000000000000e+03 1.108108411274702645e-04
1.501500000000000000e+03 1.046518491461729844e-04
1.701500000000000000e+03 7.772614872250923680e-05
1.901500000000000000e+03 7.264193968407195315e-05
2.101500000000000000e+03 9.772883753641201966e-05
2.301500000000000000e+03 1.036987232220125464e-04
2.501500000000000000e+03 1.080683833632245977e-04
2.701500000000000000e+03 9.994780070622282582e-05
2.901500000000000000e+03 7.659494342342171953e-05
3.101500000000000000e+03 8.278715862736210564e-05
3.301500000000000000e+03 1.019684241439930905e-04
3.501500000000000000e+03 1.064169762748250935e-04
3.701500000000000000e+03 9.227453917188100198e-05
3.901500000000000000e+03 9.043195933871761192e-05
4.101500000000000000e+03 8.336351218621459135e-05
4.301500000000000000e+03 8.365217335776791070e-05
4.501500000000000000e+03 1.035291474467514003e-04
4.701500000000000000e+03 1.097366135750433202e-04
4.901500000000000000e+03 9.192973428620741989e-05
5.101500000000000000e+03 8.569347048947934735e-05
5.301500000000000000e+03 8.611229037596828404e-05
5.501500000000000000e+03 9.097838329915911774e-05
5.701500000000000000e+03 1.034092736556617827e-04
5.901500000000000000e+03 1.021339983707067234e-04
6.101500000000000000e+03 8.849130089814540652e-05
6.301500000000000000e+03 8.037702612759972404e-05
6.501500000000000000e+03 9.060327326223543043e-05
6.701500000000000000e+03 9.478358597367098374e-05
6.901500000000000000e+03 1.013997663419277239e-04
7.101500000000000000e+03 9.997058248576546572e-05
7.301500000000000000e+03 9.078882128756912012e-05
7.501500000000000000e+03 8.143098223046761326e-05
7.701500000000000000e+03 8.942819500863717977e-05
7.901500000000000000e+03 1.004798756494034486e-04
8.101500000000000000e+03 1.016972976460846039e-04
8.301500000000000000e+03 9.411518630628412348e-05
8.501500000000000000e+03 8.248136168874720185e-05
8.701500000000000000e+03 8.616956999293789369e-05
8.901500000000000000e+03 9.475019160005830089e-05
9.101500000000000000e+03 9.922224892165427794e-05
9.301500000000000000e+03 9.626119350562565885e-05
9.501500000000000000e+03 9.377569393714360363e-05
9.701500000000000000e+03 8.587266976671652815e-05
9.901500000000000000e+03 8.636683958730684285e-05
1.010150000000000000e+04 9.570172988150667140e-05
1.030150000000000000e+04 1.016704584391136775e-04
1.050150000000000000e+04 9.282839710356415594e-05
1.070150000000000000e+04 8.857832532926898140e-05
1.090150000000000000e+04 8.518997468404195959e-05
1.110150000000000000e+04 9.065653992884742103e-05
1.130150000000000000e+04 1.001919957729039426e-04
1.150150000000000000e+04 9.756116778329756013e-05
1.170150000000000000e+04 9.254963684871147264e-05
1.190150000000000000e+04 8.551964144668924091e-05
1.210150000000000000e+04 8.815625036956152333e-05
1.230150000000000000e+04 9.342465875051945718e-05
1.250150000000000000e+04 9.954761905457607505e-05
1.270150000000000000e+04 9.761427245091555162e-05
1.290150000000000000e+04 8.884835896506767259e-05
1.310150000000000000e+04 8.558988555494382439e-05
1.330150000000000000e+04 8.820594659186919257e-05
1.350150000000000000e+04 9.688448739383038956e-05
1.370150000000000000e+04 1.018949256424513301e-04
1.390150000000000000e+04 9.227943528470707089e-05
1.410150000000000000e+04 8.690260597166914007e-05
1.430150000000000000e+04 8.853378166078431787e-05
1.450150000000000000e+04 9.219195618236703438e-05
1.470150000000000000e+04 9.637917053152009130e-05
1.490150000000000000e+04 9.685278159587889309e-05
1.510150000000000000e+04 9.504699529294564637e-05
1.530150000000000000e+04 8.629983271883429812e-05
1.550150000000000000e+04 8.785112788100023261e-05
1.570150000000000000e+04 9.602994092428981574e-05
1.590150000000000000e+04 9.920993378397904611e-05
1.610150000000000000e+04 9.489135485322031799e-05
1.630150000000000000e+04 9.102021810818435141e-05
1.650150000000000000e+04 8.527749546424205249e-05
1.670150000000000000e+04 9.207967303822439274e-05
1.690150000000000000e+04 9.765519020530356018e-05
1.710150000000000000e+04 9.591849340335574178e-05
1.730150000000000000e+04 9.254223738970973286e-05
1.750150000000000000e+04 9.167980200139370949e-05
1.770150000000000000e+04 8.885323832487880481e-05
1.790150000000000000e+04 9.107007581769349354e-05
1.810150000000000000e+04 1.005648462337516461e-04
1.830150000000000000e+04 9.865423152928720532e-05
1.850150000000000000e+04 8.875432802944214854e-05
1.870150000000000000e+04 8.793051267933573193e-05
1.890150000000000000e+04 9.198476267513304178e-05
1.910150000000000000e+04 9.306779139812611787e-05
1.930150000000000000e+04 1.000362383716546521e-04
1.950150000000000000e+04 9.513206457740030846e-05
1.970150000000000000e+04 8.923580988896861500e-05
1.990150000000000000e+04 8.877131776299893202e-05
2.010150000000000000e+04 9.380234407648494919e-05
2.030150000000000000e+04 9.729149716541460476e-05
2.050150000000000000e+04 9.469067575902867994e-05
2.070150000000000000e+04 1.199000313769863640e-04
