# ells, tt
1.015000000000000000e+02 2.435375090684953683e-02
3.015000000000000000e+02 1.706362675295114151e-01
5.015000000000000000e+02 4.486949008968456609e-01
7.015000000000000000e+02 8.042148744425756668e-01
9.015000000000000000e+02 1.527182118928076759e+00
1.101500000000000000e+03 2.038428067382887399e+00
1.301500000000000000e+03 3.134120100621394123e+00
1.501500000000000000e+03 4.204490604705999779e+00
1.701500000000000000e+03 4.838195322220423478e+00
1.901500000000000000e+03 6.067963626003903599e+00
2.101500000000000000e+03 7.798231772106922755e+00
2.301500000000000000e+03 9.686466246693051119e+00
2.501500000000000000e+03 1.131443977523153244e+01
2.701500000000000000e+03 1.329719934913432944e+01
2.901500000000000000e+03 1.445901038718687204e+01
3.101500000000000000e+03 1.641495713646491694e+01
3.301500000000000000e+03 1.929889094550742357e+01
3.501500000000000000e+03 2.260184413406465254e+01
3.701500000000000000e+03 2.367731371559229459e+01
3.901500000000000000e+03 2.662187123007644018e+01
4.101500000000000000e+03 2.998059246056915583e+01
4.301500000000000000e+03 3.222436532363532535e+01
4.501500000000000000e+03 3.525260792237565255e+01
4.701500000000000000e+03 4.038797641687351359e+01
4.901500000000000000e+03 4.391441070767304922e+01
5.101500000000000000e+03 4.567747487980843601e+01
5.301500000000000000e+03 4.915946927017767365e+01
5.501500000000000000e+03 5.331364933717349430e+01
5.701500000000000000e+03 5.816624702723618867e+01
5.901500000000000000e+03 6.266010983996659434e+01
6.101500000000000000e+03 6.671047577385243699e+01
6.301500000000000000e+03 7.066681905031217070e+01
6.501500000000000000e+03 7.234341104492825991e+01
6.701500000000000000e+03 7.770433371274187095e+01
6.901500000000000000e+03 8.762153192221578024e+01
7.101500000000000000e+03 9.042818984583679764e+01
7.301500000000000000e+03 9.574610824722326186e+01
7.501500000000000000e+03 9.462873740767113873e+01
7.701500000000000000e+03 1.040630849927095767e+02
7.901500000000000000e+03 1.081641255271561874e+02
8.101500000000000000e+03 1.190191681578241116e+02
8.301500000000000000e+03 1.222153383204250900e+02
8.501500000000000000e+03 1.264035025033746962e+02
8.701500000000000000e+03 1.308350558764383891e+02
8.901500000000000000e+03 1.384673999599528713e+02
9.101500000000000000e+03 1.492746462151648927e+02
9.301500000000000000e+03 1.527767136825630985e+02
9.501500000000000000e+03 1.670138655525279319e+02
9.701500000000000000e+03 1.613734577494816733e+02
9.901500000000000000e+03 1.722290451326941536e+02
1.010150000000000000e+04 1.756216825924879856e+02
1.030150000000000000e+04 1.940738030049126905e+02
1.050150000000000000e+04 1.960593456345193886e+02
1.070150000000000000e+04 2.012751126247844127e+02
1.090150000000000000e+04 2.116155666428114444e+02
1.110150000000000000e+04 2.126786531415009449e+02
1.130150000000000000e+04 2.279312785121980198e+02
1.150150000000000000e+04 2.318849534910879413e+02
1.170150000000000000e+04 2.507040957963521066e+02
1.190150000000000000e+04 2.464635936435916790e+02
1.210150000000000000e+04 2.548547728367686886e+02
1.230150000000000000e+04 2.773584635833839798e+02
