# ells, tt
1.015000000000000000e+02 7.209843821111458340e+01
3.015000000000000000e+02 4.467147404871936942e+02
5.015000000000000000e+02 1.206639435769782040e+03
7.015000000000000000e+02 2.451813132253537333e+03
9.015000000000000000e+02 4.086665571888347131e+03
1.101500000000000000e+03 5.508585925582523487e+03
1.301500000000000000e+03 8.315504862879177381e+03
1.501500000000000000e+03 1.133339196000059201e+04
1.701500000000000000e+03 1.429587181566953586e+04
1.901500000000000000e+03 1.715040416006209853e+04
2.101500000000000000e+03 2.164836519379441597e+04
2.301500000000000000e+03 2.571942068656632546e+04
2.501500000000000000e+03 2.989334229322579267e+04
2.701500000000000000e+03 3.727792939963730169e+04
2.901500000000000000e+03 4.098081998812752136e+04
3.101500000000000000e+03 4.608511416259186080e+04
3.301500000000000000e+03 5.337795814966263424e+04
3.501500000000000000e+03 6.029574125342335901e+04
3.701500000000000000e+03 6.556356264234303671e+04
3.901500000000000000e+03 7.481654593308384938e+04
4.101500000000000000e+03 8.361487372974507161e+04
4.301500000000000000e+03 9.020575148409038957e+04
4.501500000000000000e+03 9.566115809741149133e+04
4.701500000000000000e+03 1.085574023261183320e+05
4.901500000000000000e+03 1.179153321896915149e+05
5.101500000000000000e+03 1.271552192170842318e+05
5.301500000000000000e+03 1.415608731703493395e+05
5.501500000000000000e+03 1.483244452590219735e+05
5.701500000000000000e+03 1.577355692947414063e+05
5.901500000000000000e+03 1.689745300326469878e+05
6.101500000000000000e+03 1.808993681422804366e+05
6.301500000000000000e+03 1.959828013798982429e+05
6.501500000000000000e+03 2.046895466666450375e+05
6.701500000000000000e+03 2.178296021559344372e+05
6.901500000000000000e+03 2.375507685519345978e+05
7.101500000000000000e+03 2.429992403840580664e+05
7.301500000000000000e+03 2.609924271327585448e+05
7.501500000000000000e+03 2.711425605761006591e+05
7.701500000000000000e+03 2.913540186586424825e+05
7.901500000000000000e+03 3.069748262208686210e+05
8.101500000000000000e+03 3.188523841456219670e+05
8.301500000000000000e+03 3.326162065536418231e+05
8.501500000000000000e+03 3.520285231887630653e+05
8.701500000000000000e+03 3.699862921694826218e+05
8.901500000000000000e+03 3.861171206383422832e+05
9.101500000000000000e+03 4.061816869866026682e+05
9.301500000000000000e+03 4.246039642455940484e+05
9.501500000000000000e+03 4.424953033130247495e+05
9.701500000000000000e+03 4.547839243690721341e+05
9.901500000000000000e+03 4.792961697310438612e+05
1.010150000000000000e+04 4.964017892474042019e+05
1.030150000000000000e+04 5.260451812019470381e+05
1.050150000000000000e+04 5.363882819522309583e+05
1.070150000000000000e+04 5.581164909195937216e+05
1.090150000000000000e+04 5.761693143237784971e+05
1.110150000000000000e+04 6.005782377853472717e+05
1.130150000000000000e+04 6.159499545403926168e+05
1.150150000000000000e+04 6.446167882717011962e+05
1.170150000000000000e+04 6.734630433252610965e+05
1.190150000000000000e+04 6.885067076476893853e+05
1.210150000000000000e+04 7.190587026026190724e+05
1.230150000000000000e+04 7.697937737719591241e+05
