# ells, tt
1.015000000000000000e+02 1.334623059885118035e-01
3.015000000000000000e+02 4.055508176329822856e-01
5.015000000000000000e+02 6.352054488503698915e-01
7.015000000000000000e+02 9.028451104030902341e-01
9.015000000000000000e+02 1.137779135290100108e+00
1.101500000000000000e+03 1.363067274773511528e+00
1.301500000000000000e+03 1.545853157782440368e+00
1.501500000000000000e+03 1.702682415313243824e+00
1.701500000000000000e+03 1.839544313795437924e+00
1.901500000000000000e+03 1.916764103634159389e+00
2.101500000000000000e+03 1.982475442689104472e+00
2.301500000000000000e+03 2.040916938223616750e+00
2.501500000000000000e+03 2.100463443198910873e+00
2.701500000000000000e+03 2.163917098806672268e+00
2.901500000000000000e+03 2.227534484733789455e+00
3.101500000000000000e+03 2.259038156692567689e+00
3.301500000000000000e+03 2.265784136639468205e+00
3.501500000000000000e+03 2.277457103489624934e+00
3.701500000000000000e+03 2.312554997294913761e+00
3.901500000000000000e+03 2.344537005790112261e+00
4.101500000000000000e+03 2.371710373680328665e+00
4.301500000000000000e+03 2.382540590847381345e+00
4.501500000000000000e+03 2.393275211422957405e+00
4.701500000000000000e+03 2.401554000012703582e+00
4.901500000000000000e+03 2.413245102733255543e+00
5.101500000000000000e+03 2.427389810867873532e+00
5.301500000000000000e+03 2.440817121796493350e+00
5.501500000000000000e+03 2.453970712807269194e+00
5.701500000000000000e+03 2.462739866199168404e+00
5.901500000000000000e+03 2.469847718599334385e+00
6.101500000000000000e+03 2.471501442916727687e+00
6.301500000000000000e+03 2.472013134432967885e+00
6.501500000000000000e+03 2.474678409925294975e+00
6.701500000000000000e+03 2.479120651194746561e+00
6.901500000000000000e+03 2.483123044190477025e+00
7.101500000000000000e+03 2.486951450689705911e+00
7.301500000000000000e+03 2.490827597064013688e+00
7.501500000000000000e+03 2.493050951551689653e+00
7.701500000000000000e+03 2.488426123389595457e+00
7.901500000000000000e+03 2.483170113807389168e+00
8.101500000000000000e+03 2.477816175794283815e+00
8.301500000000000000e+03 2.472276502822792210e+00
8.501500000000000000e+03 2.466588561524417855e+00
8.701500000000000000e+03 2.460668231109325088e+00
8.901500000000000000e+03 2.454439126185132825e+00
9.101500000000000000e+03 2.448080753478186100e+00
9.301500000000000000e+03 2.441553963641231118e+00
9.501500000000000000e+03 2.435046998727158130e+00
9.701500000000000000e+03 2.426277216179448359e+00
9.901500000000000000e+03 2.415674297247508928e+00
1.010150000000000000e+04 2.413788854337163503e+00
1.030150000000000000e+04 2.411086451603495551e+00
1.050150000000000000e+04 2.407824220083527145e+00
1.070150000000000000e+04 2.404551469069363900e+00
1.090150000000000000e+04 2.401170892704790116e+00
1.110150000000000000e+04 2.397704037681420708e+00
1.130150000000000000e+04 2.394150387195162377e+00
1.150150000000000000e+04 2.390512939471970189e+00
1.170150000000000000e+04 2.386795900945490434e+00
1.190150000000000000e+04 2.382991965954182056e+00
1.210150000000000000e+04 2.379157815087301842e+00
1.230150000000000000e+04 2.374962991799585588e+00
1.250150000000000000e+04 2.369828649860509451e+00
1.270150000000000000e+04 2.364644577174692675e+00
1.290150000000000000e+04 2.359385227636572768e+00
1.310150000000000000e+04 2.354057430508849080e+00
1.330150000000000000e+04 2.348662055525880366e+00
1.350150000000000000e+04 2.343201040915837474e+00
1.370150000000000000e+04 2.337675810090445783e+00
1.390150000000000000e+04 2.332089092802866581e+00
1.410150000000000000e+04 2.326436109148686704e+00
1.430150000000000000e+04 2.320753037974942590e+00
1.450150000000000000e+04 2.314848681096936200e+00
1.470150000000000000e+04 2.309995350457494379e+00
1.490150000000000000e+04 2.307135968178417151e+00
1.510150000000000000e+04 2.304075086952638074e+00
1.530150000000000000e+04 2.300996097881991886e+00
1.550150000000000000e+04 2.297866754252157140e+00
1.570150000000000000e+04 2.294694231549164520e+00
1.590150000000000000e+04 2.291478393537841107e+00
1.610150000000000000e+04 2.288220399399348182e+00
1.630150000000000000e+04 2.284921130365876962e+00
1.650150000000000000e+04 2.281581477440568939e+00
1.670150000000000000e+04 2.278202285680253070e+00
1.690150000000000000e+04 2.274784363207770443e+00
1.710150000000000000e+04 2.271328490678233170e+00
1.730150000000000000e+04 2.267835430145630049e+00
1.750150000000000000e+04 2.264306009504631234e+00
1.770150000000000000e+04 2.260740804537467952e+00
1.790150000000000000e+04 2.257141943983947741e+00
1.810150000000000000e+04 2.253502949004209555e+00
1.830150000000000000e+04 2.249864327719516499e+00
1.850150000000000000e+04 2.245950419212117133e+00
1.870150000000000000e+04 2.241637233110640892e+00
1.890150000000000000e+04 2.237324220314194978e+00
1.910150000000000000e+04 2.232975782840827428e+00
1.930150000000000000e+04 2.228604484717414014e+00
1.950150000000000000e+04 2.224263333136239584e+00
1.970150000000000000e+04 2.219865497819126787e+00
1.990150000000000000e+04 2.216403506219315034e+00
2.010150000000000000e+04 2.209641652189453964e+00
2.030150000000000000e+04 2.226209035118058566e+00
2.050150000000000000e+04 2.129218920848673591e+00
2.070150000000000000e+04 2.718561383540987642e+00
