,RADeg,decDeg,z,fluxmJy_1.4GHz,fluxmJy_30GHz,fluxmJy_90GHz,fluxmJy_148GHz,fluxmJy_219GHz,fluxmJy_277GHz,fluxmJy_350GHz
191822,11.365982,11.492967,1.94634,0.811193,0.0687953,0.0285587,0.0191833,0.0140209,0.0116185,0.00963558
191823,4.036723,1.8592749999999947,1.94637,0.0989669,0.00627486,0.00260482,0.00174969,0.00127884,0.00105971,0.000878854
191824,3.157853,2.289098999999997,1.94639,0.0741162,0.0079724,0.00303599,0.00189796,0.00132948,0.00108357,0.000889179
191825,4.095662,11.376057,1.9465,2.07679,0.178007,0.0739155,0.0496501,0.036289,0.0300709,0.0249388
191826,4.847744,7.296599999999995,1.94651,0.282577,0.0223922,0.00929708,0.00624499,0.00456442,0.00378231,0.0031368
191827,4.854638,7.300094999999998,1.94651,0.843713,0.0695589,0.0278017,0.018669,0.0136449,0.0113068,0.00937715
191828,4.782865,1.230029,1.94655,0.404212,0.0385936,0.0135141,0.00899365,0.00656698,0.00544124,0.00451251
191829,7.190523000000001,7.032714000000001,1.94662,0.929912,0.0800506,0.0332155,0.022311,0.0163069,0.0135128,0.0112066
191830,7.627489000000001,8.374688,1.94677,0.195296,0.0164471,0.00682234,0.00458266,0.00334943,0.00277551,0.00230182
191831,7.625501000000001,8.370908999999994,1.94677,0.1794,0.015432,0.00640643,0.00430325,0.00314521,0.00260628,0.00216148
191833,10.143512,6.213329999999995,1.94678,0.0745534,0.00903123,0.00430641,0.00264775,0.00171468,0.00131648,0.0010207
191834,9.630126,11.016185000000005,1.9468,0.0780538,0.00637506,0.00264593,0.00177731,0.00129902,0.00107644,0.000892725
191835,3.90685,10.702007999999998,1.94684,0.293966,0.0250981,0.010382,0.00697345,0.00509684,0.0042235,0.00350269
191836,0.878156,0.5669779999999999,1.94684,0.446113,0.0557217,0.0178094,0.0107805,0.00756957,0.00620427,0.00511826
191837,0.87516,0.5773569999999966,1.94684,0.0644996,0.00521077,0.00216372,0.0014534,0.00106228,0.000880261,0.000730031
191838,0.8761730000000001,0.5718619999999989,1.94684,0.46654,0.0400557,0.0166329,0.0111725,0.00816594,0.00676671,0.00561186
191839,2.424809,9.868644000000003,1.94688,0.100302,0.0106397,0.00330152,0.00216672,0.0015788,0.00130782,0.00108453
191840,6.116418,2.536418999999995,1.94692,1.17104,0.105099,0.0421649,0.0281014,0.0204969,0.0169778,0.0140781
191841,3.355012,9.583592999999999,1.94692,0.0619052,0.0052166,0.00211986,0.0014221,0.0010392,0.000861112,0.000714143
191844,10.558669000000002,8.017795999999997,1.94697,0.137722,0.0124293,0.00484027,0.0032382,0.00236565,0.0019602,0.00162564
191845,5.430463,0.6800099999999972,1.94698,0.057615,0.00419185,0.00171149,0.00114955,0.000840193,0.000696227,0.000577404
191846,2.732664,9.779361999999999,1.94706,0.0569636,0.00486419,0.00200926,0.00134945,0.000986291,0.00081729,0.000677806
191847,8.979049,3.955780000000001,1.94707,0.0848624,0.00722163,0.00292399,0.00196218,0.001434,0.00118827,0.000985473
191849,3.490045,6.8760829999999995,1.94712,0.174925,0.0149928,0.0062256,0.00418183,0.00305647,0.00253275,0.00210049
191850,1.099198,5.468337000000005,1.94716,0.185056,0.016379,0.00661704,0.00442761,0.0032336,0.00267918,0.00222185
191851,1.097466,5.472356000000007,1.94716,0.0600993,0.00517553,0.00214889,0.00144344,0.001055,0.000874225,0.000725025
191852,0.533797,7.578006999999994,1.94726,0.0581564,0.00506134,0.00199164,0.00133266,0.000973463,0.000806597,0.000668922
191854,0.811954,8.279992,1.9473,0.087209,0.00658143,0.00273285,0.00183569,0.0013417,0.0011118,0.000922052
191855,11.323651,11.415837000000003,1.94731,0.0591406,0.00507195,0.00210126,0.0014113,0.0010315,0.000854751,0.000708873
191857,4.120837,11.403900000000005,1.94733,0.160744,0.0135447,0.00562285,0.00377694,0.00276054,0.00228753,0.00189712
191858,3.659712,7.868603000000005,1.94734,0.231196,0.0199864,0.00823643,0.0055311,0.00404256,0.00334987,0.00277816
191859,4.103178,10.502843000000004,1.94736,0.195412,0.0159952,0.00661849,0.00444539,0.00324908,0.00269235,0.00223286
191861,3.88787,5.387309999999995,1.94756,0.137449,0.0108783,0.00451709,0.0030342,0.00221767,0.00183768,0.00152405
191862,10.607183,8.002199999999995,1.9476,1.65065,0.141441,0.0587233,0.0394453,0.0288303,0.0238902,0.019813
191864,7.895072000000001,1.8206920000000022,1.94769,0.751685,0.0643087,0.0266645,0.0179099,0.0130902,0.0108472,0.00899591
191865,7.897306000000001,1.8235970000000004,1.94769,0.0764161,0.00610997,0.0025334,0.0017017,0.00124376,0.00103064,0.000854748
