,z,RADeg,decDeg,comoving_pos_x_Mpc,comoving_pos_y_Mpc,comoving_pos_z_Mpc,pec_vel_x_km_s,pec_vel_y_km_s,pec_vel_z_km_s,Mfof,Mvir,Mgas_vir,Rvir,int_tSZ_in_Rvir,int_kSZ_in_Rvir,int_SZ_in_Rvir_148GHz,int_SZ_in_Rvir_219GHz,int_SZ_in_Rvir_277GHz,int_SZ_in_Rvir_30GHz,int_SZ_in_Rvir_90GHz,int_SZ_in_Rvir_350GHz,M200,Mgas_200,R200,int_tSZ_in_R200,int_kSZ_in_R200,int_SZ_in_R200_148GHz,int_SZ_in_R200_219GHz,int_SZ_in_R200_277GHz,int_SZ_in_R200_30GHz,int_SZ_in_R200_90GHz,int_SZ_in_R200_350GHz,M500,Mgas_500,R500,int_tSZ_in_R500,int_kSZ_in_R500,int_SZ_in_R500_148GHz,int_SZ_in_R500_219GHz,int_SZ_in_R500_277GHz,int_SZ_in_R500_30GHz,int_SZ_in_R500_90GHz,int_SZ_in_R500_350GHz,Mstar,rho_gas_c,T_c,P_c,Phi_c
36929,1.8799,11.27879,4.154111000000005,4979.969,993.1789,368.8192,255.7955,147.8093,-26.92699,36811690000000.0,34601060000000.0,4224805000000.0,0.3695021,2.774183e-06,-1.22526e-06,-3.907941e-06,-1.177422e-06,1.341337e-06,-6.621086e-06,-5.622432e-06,4.713551e-06,34216610000000.0,4066327000000.0,0.3468832,2.732192e-06,-1.193284e-06,-3.835194e-06,-1.146344e-06,1.333916e-06,-6.507263e-06,-5.523671e-06,4.654806e-06,29987590000000.0,3122742000000.0,0.2443421,2.462916e-06,-1.009801e-06,-3.390416e-06,-9.684548e-07,1.265277e-06,-5.799086e-06,-4.912136e-06,4.257307e-06,766413600000.0,637700000000000.0,1.841539,199800000000000.0,-1.62954
36930,1.879,10.28807,5.7335910000000005,4983.966,904.6681,508.5942,-73.84557,273.0966,172.412,35177750000000.0,28545880000000.0,3287288000000.0,0.3452824,1.870801e-06,2.351393e-08,-1.795604e-06,5.153064e-08,1.761252e-06,-3.619622e-06,-2.949901e-06,4.053145e-06,27104170000000.0,3070318000000.0,0.3211201,1.805537e-06,2.236255e-08,-1.733146e-06,4.924969e-08,1.698992e-06,-3.493524e-06,-2.84712e-06,3.910677e-06,19126700000000.0,1925457000000.0,0.2106523,1.381577e-06,1.568364e-08,-1.326876e-06,3.550052e-08,1.296206e-06,-2.673858e-06,-2.179004e-06,2.987296e-06,709079600000.0,598200000000000.0,1.654617,168400000000000.0,-1.44441
36931,1.8724,9.6965,0.9217113999999949,5007.129,855.5694,81.72364,-13.98767,197.2046,89.26953,28641990000000.0,28257540000000.0,2661676000000.0,0.3464618,1.340967e-06,-6.058791e-08,-1.364787e-06,-3.901532e-08,1.18816e-06,-2.672484e-06,-2.192617e-06,2.831483e-06,27680850000000.0,2532882000000.0,0.3237506,1.312317e-06,-5.856714e-08,-1.33483e-06,-3.752921e-08,1.163266e-06,-2.614585e-06,-2.144948e-06,2.771357e-06,20183950000000.0,1717035000000.0,0.2155978,1.080795e-06,-4.435587e-08,-1.095017e-06,-2.749039e-08,9.604525e-07,-2.148979e-06,-1.762052e-06,2.284082e-06,683549800000.0,335600000000000.0,1.349087,77030000000000.0,-1.1781
36932,1.879,6.377344,2.710137000000004,5054.032,564.877,240.7279,-212.9701,-183.3612,105.8141,34504950000000.0,28738110000000.0,3146563000000.0,0.3478034,1.775189e-06,7.941873e-07,-9.375044e-07,8.158237e-07,2.442393e-06,-2.663933e-06,-2.030681e-06,4.627205e-06,26431370000000.0,2853627000000.0,0.3178238,1.6841e-06,7.415329e-07,-9.011492e-07,7.619038e-07,2.304666e-06,-2.538984e-06,-1.938177e-06,4.377105e-06,15089910000000.0,1466700000000.0,0.1948602,1.132045e-06,4.575914e-07,-6.4601e-07,4.706679e-07,1.506343e-06,-1.746929e-06,-1.342877e-06,2.898379e-06,748915000000.0,332700000000000.0,1.485924,84110000000000.0,-1.255533
36935,1.8749,10.1809,1.7385930000000025,5001.453,898.1828,154.2402,-104.1476,53.40181,-91.94692,35466090000000.0,30660390000000.0,3533362000000.0,0.3568343,2.066458e-06,3.639048e-07,-1.64667e-06,3.91389e-07,2.279154e-06,-3.659014e-06,-2.920078e-06,4.813189e-06,29603130000000.0,3351225000000.0,0.3341049,2.0089e-06,3.486595e-07,-1.605757e-06,3.752137e-07,2.21004e-06,-3.562046e-06,-2.84364e-06,4.673221e-06,22010120000000.0,2278932000000.0,0.2238929,1.638924e-06,2.615313e-07,-1.332134e-06,2.823421e-07,1.777395e-06,-2.928116e-06,-2.341745e-06,3.785525e-06,731556800000.0,481400000000000.0,1.625076,133100000000000.0,-1.422728
36937,1.8683,4.218845,7.6746749999999935,5014.143,369.8738,677.518,463.4116,59.89163,-30.68451,34697180000000.0,23932400000000.0,2656937000000.0,0.3279097,1.534222e-06,-1.463287e-06,-2.947042e-06,-1.429413e-06,-3.072566e-08,-4.451202e-06,-3.898373e-06,1.833876e-06,23355720000000.0,2459198000000.0,0.3058449,1.470493e-06,-1.384422e-06,-2.806435e-06,-1.352064e-06,-1.171518e-08,-4.248103e-06,-3.718208e-06,1.775254e-06,16051050000000.0,1418409000000.0,0.1996342,1.049138e-06,-9.063893e-07,-1.920389e-06,-8.83858e-07,7.12139e-08,-2.948904e-06,-2.570686e-06,1.345229e-06,618174000000.0,235600000000000.0,1.3534,54250000000000.0,-1.129
36938,1.8716,11.13075,1.279687999999997,4981.467,980.1016,113.4118,-375.8481,-195.0544,-200.5742,33351580000000.0,31717640000000.0,3427995000000.0,0.3650102,1.903863e-06,1.525611e-06,-3.362332e-07,1.543428e-06,3.290137e-06,-2.184443e-06,-1.506776e-06,5.641439e-06,30852620000000.0,3227280000000.0,0.3368709,1.85607e-06,1.465626e-06,-3.493367e-07,1.482859e-06,3.185407e-06,-2.151137e-06,-1.490442e-06,5.477437e-06,21625660000000.0,2169692000000.0,0.2202576,1.531944e-06,1.110047e-06,-3.872057e-07,1.123535e-06,2.527091e-06,-1.874292e-06,-1.328756e-06,4.417544e-06,767249700000.0,422100000000000.0,1.517795,109000000000000.0,-1.32957
36939,1.8749,10.02656,3.8852640000000007,4995.625,883.2518,344.5389,39.53094,225.9412,133.7781,43924130000000.0,24989660000000.0,2734956000000.0,0.3342223,1.461925e-06,-2.778955e-07,-1.698631e-06,-2.529281e-07,1.084424e-06,-3.125441e-06,-2.601778e-06,2.87392e-06,23644060000000.0,2551602000000.0,0.3131355,1.407953e-06,-2.639174e-07,-1.632103e-06,-2.399731e-07,1.047784e-06,-3.006232e-06,-2.501871e-06,2.771046e-06,13552080000000.0,1308904000000.0,0.1882446,9.798703e-07,-1.651545e-07,-1.116782e-06,-1.490803e-07,7.458533e-07,-2.073086e-06,-1.721891e-06,1.944193e-06,646982200000.0,334700000000000.0,1.35886,77380000000000.0,-1.2375
36940,1.87,8.344658,4.586514000000002,5007.025,734.432,405.9675,130.9631,11.0948,194.3413,35273860000000.0,20760640000000.0,1693409000000.0,0.3130717,6.745634e-07,-2.950574e-07,-9.5126e-07,-2.817324e-07,3.377145e-07,-1.610091e-06,-1.368647e-06,1.164484e-06,19415040000000.0,1527862000000.0,0.2878514,6.281078e-07,-2.713732e-07,-8.823579e-07,-2.589931e-07,3.177339e-07,-1.495815e-06,-1.27099e-06,1.08752e-06,6343528000000.0,507414500000.0,0.1487436,3.257561e-07,-1.27854e-07,-4.446057e-07,-1.21561e-07,1.772673e-07,-7.627566e-07,-6.461168e-07,5.762921e-07,666416500000.0,136000000000000.0,0.8993629,20810000000000.0,-0.873234
36941,1.8766,5.033967,6.055646000000002,5038.442,443.8165,536.5792,-335.1004,131.2535,493.9637,57091760000000.0,44789150000000.0,5744122000000.0,0.4026243,4.381438e-06,1.658407e-06,-2.60837e-06,1.697352e-06,5.688976e-06,-6.868897e-06,-5.302416e-06,1.106782e-05,42194080000000.0,5328639000000.0,0.3737184,4.212191e-06,1.573533e-06,-2.527982e-06,1.610539e-06,5.447e-06,-6.623894e-06,-5.117794e-06,1.06173e-05,28930330000000.0,3144134000000.0,0.2422551,3.06792e-06,1.057385e-06,-1.927805e-06,1.08225e-06,3.871839e-06,-4.910856e-06,-3.813272e-06,7.633915e-06,994319200000.0,293600000000000.0,1.926243,96220000000000.0,-1.641758
36943,1.8915,3.251323,5.624353999999997,5077.635,288.4466,500.8518,364.185,347.4501,433.8159,55842270000000.0,51709370000000.0,5775205000000.0,0.4213694,4.611674e-06,-2.614287e-06,-7.060227e-06,-2.532964e-06,1.634647e-06,-1.157988e-05,-9.912968e-06,7.215305e-06,50363770000000.0,5482041000000.0,0.3930604,4.498233e-06,-2.514846e-06,-6.850945e-06,-2.436e-06,1.628052e-06,-1.125937e-05,-9.633322e-06,7.070635e-06,35658320000000.0,3719055000000.0,0.2579303,3.681769e-06,-1.882775e-06,-5.429096e-06,-1.821016e-06,1.499352e-06,-9.037063e-06,-7.705357e-06,5.949457e-06,1085380000000.0,764000000000000.0,2.421058,314700000000000.0,-2.151056
36945,1.889,2.583692,10.187870000000002,5020.486,226.547,903.1485,-229.4056,-201.3452,184.8717,47192010000000.0,41040710000000.0,4848479000000.0,0.3888695,3.20411e-06,1.055616e-06,-2.064581e-06,1.091084e-06,4.016153e-06,-5.181585e-06,-4.036626e-06,7.950006e-06,37965060000000.0,4479442000000.0,0.358222,3.079786e-06,9.998432e-07,-1.998987e-06,1.03363e-06,3.844529e-06,-4.995031e-06,-3.894404e-06,7.625223e-06,21529550000000.0,2393251000000.0,0.2179468,2.156393e-06,6.372771e-07,-1.460944e-06,6.594092e-07,2.624177e-06,-3.558631e-06,-2.787522e-06,5.268734e-06,959531700000.0,409900000000000.0,1.803867,125800000000000.0,-1.56123
36946,1.8882,8.511523,8.099402999999999,4998.727,748.0926,719.2933,154.8278,178.7203,-96.24301,34216610000000.0,24220740000000.0,3120172000000.0,0.3260895,2.057257e-06,-6.282957e-07,-2.62331e-06,-5.932339e-07,1.28246e-06,-4.632779e-06,-3.894335e-06,3.793146e-06,23740170000000.0,2955648000000.0,0.3066498,2.013676e-06,-6.085792e-07,-2.561216e-06,-5.743808e-07,1.261316e-06,-4.528111e-06,-3.805272e-06,3.718619e-06,21241210000000.0,2134861000000.0,0.2172059,1.700305e-06,-4.788953e-07,-2.12696e-06,-4.50756e-07,1.097673e-06,-3.787733e-06,-3.177154e-06,3.171367e-06,580571300000.0,500900000000000.0,1.625177,138500000000000.0,-1.39194
36947,1.8915,1.937858,7.998062000000007,5057.364,171.1154,710.9982,300.5006,-405.8951,9.645926,50171540000000.0,46134750000000.0,4961124000000.0,0.4033219,3.603626e-06,-1.54044e-06,-5.024847e-06,-1.478884e-06,1.791464e-06,-8.550433e-06,-7.252375e-06,6.170844e-06,43828010000000.0,4627894000000.0,0.3749425,3.478508e-06,-1.466736e-06,-4.829817e-06,-1.407671e-06,1.74836e-06,-8.232966e-06,-6.979872e-06,5.975102e-06,26815820000000.0,2650242000000.0,0.2348709,2.502842e-06,-9.602831e-07,-3.378179e-06,-9.197378e-07,1.346847e-06,-5.82665e-06,-4.924444e-06,4.384836e-06,1033880000000.0,346800000000000.0,1.947344,114900000000000.0,-1.64736
36948,1.8915,1.9423950000000003,7.966822999999995,5058.475,171.5541,708.3426,141.389,-233.4131,552.0296,34120490000000.0,31717640000000.0,3567983000000.0,0.3566932,2.099082e-06,-7.899992e-07,-2.82518e-06,-7.533959e-07,1.159832e-06,-4.877805e-06,-4.12323e-06,3.720185e-06,31429300000000.0,3466050000000.0,0.3436054,2.07087e-06,-7.737702e-07,-2.781509e-06,-7.377436e-07,1.149579e-06,-4.806534e-06,-4.062078e-06,3.675373e-06,24220740000000.0,2355421000000.0,0.226884,1.691618e-06,-5.80082e-07,-2.21919e-06,-5.515585e-07,9.880972e-07,-3.873235e-06,-3.264867e-06,3.049754e-06,733311900000.0,493100000000000.0,1.650884,138500000000000.0,-1.43055
36949,1.894,6.37049,0.6038348000000039,5082.515,567.4449,53.89894,57.93746,-473.4093,-227.4689,34793290000000.0,30948730000000.0,3519809000000.0,0.353931,2.128016e-06,-1.026654e-08,-2.078741e-06,2.063042e-08,1.963198e-06,-4.154411e-06,-3.391856e-06,4.568545e-06,29891470000000.0,3350258000000.0,0.332294,2.080489e-06,-9.906882e-09,-2.032027e-06,2.014872e-08,1.918991e-06,-4.061322e-06,-3.315755e-06,4.465886e-06,23644060000000.0,2360787000000.0,0.2246399,1.749151e-06,-7.680237e-09,-1.706869e-06,1.671763e-08,1.611203e-06,-3.412888e-06,-2.785809e-06,3.750969e-06,723890800000.0,646300000000000.0,1.730639,190300000000000.0,-1.52176
36950,1.8824,4.033285,9.408144000000002,5015.324,353.6335,833.0771,283.824,-311.3274,-20.38833,35946660000000.0,30372040000000.0,3284716000000.0,0.351855,2.071516e-06,-9.237049e-07,-2.929536e-06,-8.868613e-07,9.984369e-07,-4.955391e-06,-4.210351e-06,3.520928e-06,29026450000000.0,3097966000000.0,0.328794,2.011797e-06,-8.847309e-07,-2.832567e-06,-8.491235e-07,9.814448e-07,-4.800007e-06,-4.076393e-06,3.430929e-06,22010120000000.0,2065961000000.0,0.2199731,1.603254e-06,-6.437605e-07,-2.195082e-06,-6.163715e-07,8.403086e-07,-3.762915e-06,-3.185952e-06,2.790738e-06,723462100000.0,712000000000000.0,1.878033,227500000000000.0,-1.632162
36951,1.894,10.63086,4.281774999999997,5012.065,940.777,381.8091,241.8677,493.3023,93.09858,35658320000000.0,32967120000000.0,3898441000000.0,0.3753968,2.417343e-06,-1.363497e-06,-3.701327e-06,-1.318732e-06,8.782447e-07,-6.068059e-06,-5.197114e-06,3.816456e-06,32582670000000.0,3658792000000.0,0.3419854,2.351552e-06,-1.3036e-06,-3.57756e-06,-1.260291e-06,8.763656e-07,-5.879849e-06,-5.032542e-06,3.734206e-06,26239140000000.0,2646578000000.0,0.23252,2.002088e-06,-1.02459e-06,-2.959579e-06,-9.887535e-07,8.280974e-07,-4.919612e-06,-4.197927e-06,3.259494e-06,736815200000.0,586200000000000.0,1.77572,177100000000000.0,-1.55133
36952,1.8849,6.41626,3.3271960000000034,5058.963,568.9075,295.9612,-489.7438,-86.41267,53.76455,28449760000000.0,25950800000000.0,2920942000000.0,0.3442642,1.537582e-06,1.584411e-06,7.81784e-08,1.597865e-06,3.011492e-06,-1.413243e-06,-8.668157e-07,4.914998e-06,25566340000000.0,2788073000000.0,0.3248005,1.506509e-06,1.535435e-06,5.972765e-08,1.548538e-06,2.933413e-06,-1.401543e-06,-8.661364e-07,4.798305e-06,20376180000000.0,1882681000000.0,0.2152095,1.248901e-06,1.173655e-06,-4.914816e-08,1.183988e-06,2.330831e-06,-1.260488e-06,-8.164816e-07,3.875862e-06,631642400000.0,411200000000000.0,1.417234,99150000000000.0,-1.21572
36953,1.8932,4.046822,6.623047999999999,5066.593,358.4516,589.7608,-225.6558,320.0321,-20.30242,118604800000000.0,65357560000000.0,8516697000000.0,0.4539098,9.682785e-06,2.152786e-06,-7.239372e-06,2.220917e-06,1.097606e-05,-1.665733e-05,-1.318498e-05,2.27989e-05,63915850000000.0,7968892000000.0,0.4268746,9.269641e-06,2.036541e-06,-6.953766e-06,2.10062e-06,1.047971e-05,-1.596983e-05,-1.264527e-05,2.179614e-05,45365840000000.0,4704971000000.0,0.2794368,6.636241e-06,1.337132e-06,-5.092987e-06,1.376638e-06,7.36147e-06,-1.15474e-05,-9.165284e-06,1.54522e-05,1295387000000.0,373700000000000.0,2.733559,173800000000000.0,-2.47896
36956,1.889,5.284356,5.869331999999996,5058.647,467.8834,522.2435,-239.728,93.32095,493.9552,28641990000000.0,27104170000000.0,2964660000000.0,0.3397259,1.669252e-06,5.662299e-07,-1.060867e-06,5.867215e-07,2.114113e-06,-2.685886e-06,-2.089406e-06,4.165909e-06,26527480000000.0,2826433000000.0,0.3180497,1.634495e-06,5.471246e-07,-1.045973e-06,5.670767e-07,2.062407e-06,-2.637142e-06,-2.05305e-06,4.071278e-06,19991730000000.0,2039567000000.0,0.2155312,1.393672e-06,4.293675e-07,-9.283121e-07,4.457189e-07,1.719226e-06,-2.284961e-06,-1.78674e-06,3.430932e-06,659715400000.0,1009000000000000.0,1.769112,303700000000000.0,-1.5642
36958,1.8932,3.383201,5.504991999999995,5080.426,300.3381,490.491,514.8796,40.20254,393.6696,33159350000000.0,19799500000000.0,1895030000000.0,0.3073745,8.57543e-07,-1.204476e-06,-2.034189e-06,-1.183474e-06,-3.998192e-07,-2.876413e-06,-2.567076e-06,6.426495e-07,19126700000000.0,1780138000000.0,0.2880754,8.263068e-07,-1.144066e-06,-1.943495e-06,-1.123881e-06,-3.688942e-07,-2.755026e-06,-2.456945e-06,6.35505e-07,12783170000000.0,1060267000000.0,0.1836403,6.046807e-07,-7.590913e-07,-1.343781e-06,-7.446053e-07,-1.927758e-07,-1.937577e-06,-1.71938e-06,5.417132e-07,541120300000.0,264500000000000.0,1.144192,51490000000000.0,-1.027865
36959,1.8865,10.58637,7.5562000000000005,4972.178,929.2933,670.9826,339.9816,283.093,98.08675,56418960000000.0,45461950000000.0,5372256000000.0,0.4025886,4.282174e-06,-2.507014e-06,-6.640674e-06,-2.427608e-06,1.453699e-06,-1.083495e-05,-9.290022e-06,6.645603e-06,42674650000000.0,4948302000000.0,0.3724685,4.132463e-06,-2.386817e-06,-6.375556e-06,-2.310604e-06,1.434107e-06,-1.042316e-05,-8.932124e-06,6.443816e-06,24797430000000.0,2624317000000.0,0.2287559,2.997234e-06,-1.579887e-06,-4.470715e-06,-1.526875e-06,1.184265e-06,-7.406246e-06,-6.324129e-06,4.814088e-06,1045170000000.0,322700000000000.0,1.95253,107200000000000.0,-1.666971
36961,1.8915,10.90824,2.9446480000000026,5011.846,965.8768,262.5487,121.6245,537.7573,-43.25312,28161420000000.0,27584740000000.0,2934066000000.0,0.3434143,1.475607e-06,-6.775526e-07,-2.109384e-06,-6.500978e-07,6.979164e-07,-3.552464e-06,-3.022444e-06,2.499772e-06,27104170000000.0,2820373000000.0,0.3229575,1.449234e-06,-6.577275e-07,-2.063885e-06,-6.308402e-07,6.929059e-07,-3.48116e-06,-2.960593e-06,2.462421e-06,22106240000000.0,2049553000000.0,0.2198359,1.237266e-06,-5.191322e-07,-1.719102e-06,-4.9667e-07,6.32349e-07,-2.92901e-06,-2.48445e-06,2.142188e-06,655137500000.0,508300000000000.0,1.422286,123000000000000.0,-1.26423
36962,1.884,10.05729,9.935469999999993,4945.463,877.1179,879.796,172.0725,196.6024,71.7754,47960920000000.0,32871010000000.0,4022675000000.0,0.3621468,2.64038e-06,-9.508936e-07,-3.508014e-06,-9.05918e-07,1.496499e-06,-6.088446e-06,-5.139433e-06,4.712868e-06,32198210000000.0,3871815000000.0,0.3479251,2.583532e-06,-9.224142e-07,-3.424341e-06,-8.785525e-07,1.471826e-06,-5.949209e-06,-5.020583e-06,4.618709e-06,24316860000000.0,2420950000000.0,0.2274042,1.970454e-06,-6.437531e-07,-2.550802e-06,-6.115325e-07,1.178444e-06,-4.476461e-06,-3.767817e-06,3.576568e-06,759649100000.0,396700000000000.0,1.733507,117000000000000.0,-1.51965
